Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address
Technical,two bidders participated in this work and found responsive.,Sanjiv Kumar,01-Feb-2024 04:01 PM,technical_125380.pdf,1.0,401271.0,M/s Kamala Enterprises,30-Jan-2024 02:29 PM,Accepted-AOC,Lower Side,15-Feb-2024,1.0,401271.0,M/s Kamala Enterprises,INR,"4,909,710",Finance,Financial Bid of two bidders open successfully.,Rahul Thakur,15-Feb-2024 12:40 PM,finance_125380.pdf,BOQ Comparative Chart,Xen HPPWD Baijnath,Internal,"AO, JDM, SupdtGII AE Baijnath",Rahul Thakur,15-Feb-2024 12:42 PM,finsummary_125380.pdf (172.21 KB),15-Feb-2024,"INR 4,720,875",180.0,Rahul Thakur,15-Feb-2024 12:44 PM,AwardDeol.PDF (182.00 KB),PWD,2024_PWD_84422_1,PWD-BD-NIT-2023-24-16468-16519,Left out Balance work of link road from Deol to Tatwani via Karnathu Sarjada Road Km 0/0 to 10/675,Xen HPPWD Baijnath,Internal,"DAO, JDM, SupdtG-II, AE Baijnath",Sanjiv Kumar,01-Feb-2024 04:04 PM,05-Feb-2024 11:00 AM,techsummary_125380.pdf (252.45 KB),23-Jan-2024 05:00 PM,31-Jan-2024 11:30 AM,23-Jan-2024 05:00 PM,31-Jan-2024 11:00 AM,NA ,NA ,23-Jan-2024 06:00 PM,31-Jan-2024 11:00 AM,05-Feb-2024 11:00 AM,1.0,ICICI BANK,"2,000",Nil,Nil,No,PWD,PWD-BD-NIT-2023-24-16468-16519,2024_PWD_84422_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Left out Balance work of link road from Deol to Tatwani via Karnathu Sarjada Road Km 0/0 to 10/675,P/L G-II G-III Tarring work and CC Pavement) Under Nabard RIDF-XXVII,Please refer Tender documents. ,NA ,"47,20,875",Civil Works - Roads,NA ,Tender,90.0,180.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,"94,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and EMD as mentioned in SBD,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath
,,,,,2.0,401447.0,Shalabh Awasthi,30-Jan-2024 04:18 PM,Rejected-Finance,Higher Side,15-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Nature work done 40 percent of the estimated cost as mentioned SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,
