Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Executive Engineer,Internal,HDM DAO SUPDT AE Beri,Gurminder Singh,23-Feb-2023 02:18 PM,finsummary_100085.pdf (290.38 KB),27-Feb-2024,"INR 146,135,080",365.0,Gurminder Singh,27-Feb-2024 06:15 PM,Brahmpukharbhager.pdf (776.00 KB),Award letter dated 15.3.2023,PWD,2022_PWD_66551_1,PW-BLP1-CBeproc/22-8390-8445 dt 3.8.22,Strengthening from Brahmpukhar to Bhager Fly over section NH-88 Shimla Matour Corridor.,Executive Engineer,Internal,AE Beri SUPDT SDAO HDM,Rajinder Singh,19-Dec-2022 05:48 PM,19-Dec-2022 05:50 PM,techsummary_100085.pdf (327.58 KB),Technical,Technical bid opening summary,Rajinder Singh,14-Dec-2022 06:03 PM,technical_100085.pdf,1.0,309249.0,Ajmer Singh,19-Oct-2022 07:31 PM,Accepted-AOC,Due to L1,27-Feb-2024,Finance,Financial bid opening summary,Gurminder Singh,23-Feb-2023 02:14 PM,finance_100085.pdf,BOQ Comparative Chart,1.0,309249.0,Ajmer Singh,INR,"109,586,696","5,000",Nil,Nil,No,14-Oct-2022 03:25 PM,21-Oct-2022 11:00 AM,14-Oct-2022 03:25 PM,21-Oct-2022 10:30 AM,NA ,NA ,14-Oct-2022 03:25 PM,21-Oct-2022 10:30 AM,19-Dec-2022 05:50 PM,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule E.,Executive Engineer,"Division No.1, HPPWD Bilaspur.",1.0,ICICI BANK,"5,00,000",No,fixed,,Nil,Nil,Strengthening from Brahmpukhar to Bhager Fly over section NH-88 Shimla Matour Corridor.,"P/L 50mm thick bitumen mechadum, marking of central line,edge line, etc..",Please refer Tender documents. ,NA ,"14,61,35,080",Civil Works - Roads,"P/L 50mm thick bitumen mechadum, marking of centra ",Tender,120.0,365.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur.",No ,No,PWD,PW-BLP1-CBeproc/22-8390-8445 dt 3.8.22,2022_PWD_66551_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,309194.0,Manohar Lal,20-Oct-2022 09:20 PM,Rejected-Technical,Due to Non fulfilment the condition of Financial turn over/Bid capacity,19-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration.,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,309317.0,M/S. MVD BHAMBHU JV,21-Oct-2022 09:36 AM,Rejected-Finance,Due to L3,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,309212.0,M/S SUKHDEV SHARMA CONTRACTOR,20-Oct-2022 09:37 PM,Not Admitted-Fee/PreQual/Technical,Others-The above named contractor has requested to this office vide his application that his tender may not be opened please. Accordingly his bid is hereby not admitted.,14-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,309314.0,OM PARKASH SHARMA AND SONS,20-Oct-2022 05:15 PM,Rejected-Finance,Due to L2,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,308617.0,S.S.Chauhans Construction Private Limted,20-Oct-2022 06:06 PM,Rejected-Finance,Due to L4,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machinery, tools and plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover for last five years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of technical personals, , laboratory equipments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of no relative working in HPPWD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
