S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),25-Oct-2023 11:00 AM,04-Nov-2023 11:00 AM,25-Oct-2023 11:00 AM,03-Nov-2023 05:00 PM,NA ,NA ,25-Oct-2023 11:00 AM,03-Nov-2023 05:00 PM,04-Dec-2023 02:00 PM,HP SIDC Limited,Job No. 5,2023_SIDC_80579_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,"16,700",No,fixed,,Nil,Nil,"1,000",Nil,Nil,No,Providing and laying roof structure over existing type-III (4 sets) residence at DIC Colony Bilaspur (HP).,Providing and laying roof structure over existing type-III (4 sets) residence,Please refer Tender documents. ,NA ,"8,33,094",Civil Works,NA ,Tender,120.0,120.0,Bilaspur,174001.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,15-Feb-2024,"INR 751,828",120.0,Sushant Singh Negi,19-Feb-2024 12:55 PM,rajenderthree.pdf (1215.00 KB),Award letter,1.0,381121.0,Rajender Pal,INR,"751,828",EE,Internal,"DM, Manager(F)",Sushant Singh Negi,14-Dec-2023 11:48 AM,finsummary_119961.pdf (35.70 KB),HP SIDC Limited,2023_SIDC_80579_1,Job No. 5,Providing and laying roof structure over existing type-III (4 sets) residence at DIC Colony Bilaspur (HP).,Finance,financial summary,Sushant Singh Negi,14-Dec-2023 11:41 AM,finance_119961.pdf,BOQ Comparative Chart,Technical,Tender Summary,Sushant Singh Negi,04-Dec-2023 12:16 PM,,EE,Internal,"DM, Manager(F)",Sushant Singh Negi,04-Dec-2023 12:20 PM,04-Dec-2023 02:00 PM,techsummary_119961.pdf (778.23 KB),1,382171,Amar Singh,03-Nov-2023 04:38 PM,Rejected-Finance,10th lowest bidder,14-Dec-2023
2.0,ICICI NEFT/RTGS,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,382186,AMBIKA ENTERPRISES,03-Nov-2023 12:13 PM,Rejected-Finance,2nd lowest bidder,14-Dec-2023
,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,382284,ANJU DEVI,03-Nov-2023 03:51 PM,Rejected-Finance,6th lowest bidder,14-Dec-2023
,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,381473,BALRAJ SINGH GOVT CONTRACTOR,30-Oct-2023 01:12 PM,Rejected-Finance,12th lowest bidder,14-Dec-2023
,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,381529,CHAMAN KUMAR GOVT CONTRACTOR,03-Nov-2023 09:42 AM,Rejected-Finance,5th lowest bidder,14-Dec-2023
,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,382128,DALIP SINGH,02-Nov-2023 06:37 PM,Rejected-Finance,3rd lowest bidder,14-Dec-2023
,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,382242,DEVINDER KUMAR,03-Nov-2023 01:41 PM,Rejected-Finance,8th lowest bidder,14-Dec-2023
,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,382079,MAHESH KUMAR,02-Nov-2023 02:14 PM,Rejected-Finance,13th lowest bidder,14-Dec-2023
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,381906,Pawan Kumar,02-Nov-2023 10:19 AM,Rejected-Finance,7th lowest bidder,14-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,382287,RAJAT,03-Nov-2023 03:58 PM,Rejected-Finance,11th lowest bidder,14-Dec-2023
