Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Online receipt of fee,04-Dec-2023 09:00 AM,15-Dec-2023 11:00 AM,04-Dec-2023 09:00 AM,14-Dec-2023 05:00 PM,NA ,NA ,04-Dec-2023 09:00 AM,14-Dec-2023 05:00 PM,19-Dec-2023 11:00 AM,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,"1,500",Nil,Nil,No,"53,500",Yes,fixed,,Nil,Nil,PWD,Dshala 10625-10654,2023_PWD_82084_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Construction of link road to village Passu from Sheela Road km 0/000 to 0/450 including bridge at RD 0/115 Over Manjhi Khad in Tehsil Dharamshala, Distt. Kangra H.P. Under MNP",SH - Construction of bridge (Balance work),Please refer Tender documents. ,NA ,"26,74,992",Civil Works,NA ,Tender,180.0,NA ,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,2023_PWD_82084_1,Dshala 10625-10654,"Construction of link road to village Passu from Sheela Road km 0/000 to 0/450 including bridge at RD 0/115 Over Manjhi Khad in Tehsil Dharamshala, Distt. Kangra H.P. Under MNP",Er. J.S. Thakur,Internal,"TA, HDM, Superintendent HP PWD Division Dharamshala",Jagtar Singh Thakur,18-Dec-2023 07:17 PM,19-Dec-2023 11:00 AM,techsummary_122091.pdf (272.01 KB),Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. O P Sharrma Supdt. Sh. Satish Kumar HDM Sh. Sanjay Kumar TA,Jagtar Singh Thakur,12-Feb-2024 04:52 PM,finsummary_122091.pdf (191.82 KB),12-Feb-2024,"INR 2,674,992",180.0,Jagtar Singh Thakur,12-Feb-2024 04:59 PM,awardleter.pdf (317.00 KB),Finance,As per document attached,Jagtar Singh Thakur,20-Dec-2023 11:36 AM,finance_122091.pdf,BOQ Comparative Chart,1.0,391117.0,M/s Chamunda Holo Blocks Industries,INR,"2,808,551",1.0,391110.0,Gaurav Sharma,14-Dec-2023 01:41 PM,Rejected-Finance,Rejected,12-Feb-2024,Technical,As per tender document attached,Jagtar Singh Thakur,15-Dec-2023 12:30 PM,technical_122091.pdf
,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,391117.0,M/s Chamunda Holo Blocks Industries,14-Dec-2023 02:03 PM,Accepted-AOC,L1,14-Feb-2024,,,,,
,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
