Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Finance,Summary,Amit Mirupa,16-Feb-2024 12:29 PM,finance_123835.pdf,BOQ Comparative Chart,Technical,Summary,Amit Mirupa,12-Jan-2024 05:12 PM,technical_123835.pdf,16-Feb-2024,"INR 2,554,813",180.0,Amit Mirupa,16-Feb-2024 12:33 PM,AOC.pdf (527.00 KB),Executive Engineer,Internal,,Amit Mirupa,12-Jan-2024 05:13 PM,12-Jan-2024 05:15 PM,techsummary_123835.pdf (678.48 KB),1.0,396464.0,Amit sood contractor,06-Jan-2024 05:54 PM,Rejected-Finance,L2,16-Feb-2024,1.0,395739.0,Narender Singh,INR,"2,190,000","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2023_HPIPH_83296_1,14565-14615,"A R AND M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair AND maintenance of 0.46 MLD STP at Sarabai Zone B AND C including main trunk , distribution network 8.00 km for a period of six months",Executive Engineer,Internal,,Amit Mirupa,16-Feb-2024 12:32 PM,finsummary_123835.pdf (675.32 KB),400.0,Executive Engineer,Jal Shakti Division Kullu,No,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",14565-14615,2023_HPIPH_83296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"58,100",Yes,fixed,,Executive Engineer,Jal Shakti Division Kullu,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,1.0,ICICI BANK,28-Dec-2023 06:00 PM,09-Jan-2024 11:30 AM,29-Dec-2023 10:00 AM,08-Jan-2024 05:00 PM,NA ,NA ,29-Dec-2023 10:00 AM,08-Jan-2024 05:00 PM,12-Jan-2024 05:15 PM,Executive Engineer,Jal Shakti Division Kullu,"A R AND M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair AND maintenance of 0.46 MLD STP at Sarabai Zone B AND C including main trunk , distribution network 8.00 km for a period of six months","A R AND M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair AND maintenance of 0.46 MLD STP at Sarabai Zone B AND C including main trunk , distribution network 8.00 km for a period of six months",Please refer Tender documents. ,NA ,"25,54,813",Civil Works - Others,NA ,Tender,90.0,NA ,SARABAI,175101.0,NA ,NA ,NA ,JSV Division Kullu,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,2.0,396460.0,GURBACHAN SING,06-Jan-2024 05:37 PM,Rejected-Finance,L3,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form as per NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.0,395739.0,Narender Singh,05-Jan-2024 12:57 PM,Accepted-AOC,L1,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.0,395986.0,VINAYSHARMA,08-Jan-2024 03:36 PM,Rejected-Finance,L4,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking for blacklist/debarred as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Undertaking for labor wages as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking MoU with NABL accredited lab as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking form six and eight as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
