Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Vinod Shyam,01-Dec-2023 03:04 PM,finsummary_120232.pdf (188.02 KB),26-Feb-2024,"INR 718,772",45.0,Vinod Shyam,26-Feb-2024 03:40 PM,1.pdf (681.00 KB),PWD,2023_PWD_80767_5,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,"R/R Damages on himri Valley Road in K.M. 0/00 to 17/600, C/o, R/Wall at R.D. 9/735 to 9/750 and 10/915 to 10/935",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,28-Nov-2023 04:36 PM,28-Nov-2023 04:40 PM,techsummary_120232.pdf (3745.25 KB),Technical,summary uploaded,Akhil Chauhan,28-Nov-2023 04:35 PM,technical_120232.pdf,1.0,382937.0,MAHENDER SHARMA,07-Nov-2023 12:35 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,1.0,382928.0,Rajeev Kanwar,INR,"740,240",Finance,summary uploaded,Vinod Shyam,01-Dec-2023 02:56 PM,finance_120232.pdf,BOQ Comparative Chart,1.0,ICICI BANK,"R/R Damages on himri Valley Road in K.M. 0/00 to 17/600, C/o, R/Wall at R.D. 9/735 to 9/750 and 10/915 to 10/935","R/R Damages on himri Valley Road in K.M. 0/00 to 17/600, C/o, R/Wall at R.D. 9/735 to 9/750 and 10/915 to 10/935",Please refer Tender documents. ,NA ,"7,18,772",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,HPPWD DIVISION KOTKHAI,02-Nov-2023 11:00 AM,08-Nov-2023 11:00 AM,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,NA ,NA ,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,28-Nov-2023 04:40 PM,PWD,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,2023_PWD_80767_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),350.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382928.0,Rajeev Kanwar,07-Nov-2023 12:06 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,26-Feb-2024,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,
