S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,DD - Demand Draft,Construction of Path way Shimla Journalist house building Cooperative Society Kachi ghati in ward no 9,Construction of Path way Shimla Journalist house building Cooperative Society Kachi ghati in ward no 9,NA ,NA ,"14,56,400",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC shimla,No ,No,1.0,Tender Notice,Other,,"29,100",No,fixed,,Executive Engineer R B M C Shimla,shimla,Municipal Corporation Shimla,2331dated31102023,2023_MC_81068_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Nov-2023 05:00 PM,17-Nov-2023 03:00 PM,04-Nov-2023 05:00 PM,16-Nov-2023 05:00 PM,NA ,NA ,04-Nov-2023 05:00 PM,16-Nov-2023 05:00 PM,24-Nov-2023 11:55 AM,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,500.0,Executive Engineer R B M C Shimla,shimla,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,1.0,384498.0,Sanjeev Kumar Aggarwal,INR,"964,299",Municipal Corporation Shimla,2023_MC_81068_3,2331dated31102023,Construction of Path way Shimla Journalist house building Cooperative Society Kachi ghati in ward no 9,EE,Internal,AO AE,Rajesh Thakur,24-Nov-2023 11:50 AM,24-Nov-2023 11:55 AM,techsummary_120696.pdf (783.74 KB),Finance,BOS,Dinesh Thakur,24-Nov-2023 12:07 PM,finance_120696.pdf,BOQ Comparative Chart,22-Feb-2024,"INR 964,299.8",60.0,Rajesh Thakur,22-Feb-2024 11:54 AM,2023_MC_81068_3.pdf (640.00 KB),AOC,EE,Internal,AO AE,Rajesh Thakur,22-Feb-2024 11:53 AM,finsummary_120696.pdf (314.77 KB),1,384584,Abhishek Sharma,16-Nov-2023 01:30 PM,Rejected-Finance,Rejected,22-Feb-2024,Technical,BOS,Dinesh Thakur,17-Nov-2023 03:47 PM,technical_120696.pdf
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,383345,AKASH SHARMA,08-Nov-2023 05:29 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,383332,ANIL THAPA,08-Nov-2023 04:52 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,384499,BILAL AHMED BUTT,16-Nov-2023 11:08 AM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,384670,DHEERAJ PARMAR,16-Nov-2023 04:15 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,383776,Hari Krishan Sharma,15-Nov-2023 06:25 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,384668,HEM RAJ,16-Nov-2023 04:09 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,384518,Kaku Ram,16-Nov-2023 11:45 AM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,383424,LALIT KUMAR,09-Nov-2023 10:10 AM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,384601,MADAN SINGH,16-Nov-2023 02:06 PM,Rejected-Finance,Rejected,22-Feb-2024,,,,,
