Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
SR XEN TCD PANDOH,SR XEN TCD PANDOH,Providing and fixing wood work in frames (Chokhet) and framed door shutter Type III and IV qtrs. HPSEBL colonyat Sunder Nagar.,Providing and fixing wood work in frames (Chokhet) and framed door shutter Type III and IV qtrs. HPSEBL colony at Sunder Nagar.,Please refer Tender documents. ,NA ,"4,74,445",Civil Works - Buildings,REPAIR WORK ,Tender,180.0,30.0,SUNDERNAGAR,175019.0,NA ,NA ,NA ,TCD HPSEBL PANDOH,No ,No,1.0,ICICI BANK,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/DB-7/89/2023-24,2024_HPSEB_86534_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COPY OF ADHAR CARD,"10,100",Yes,fixed,,Nil,Nil,20-Feb-2024 05:30 PM,28-Feb-2024 12:30 PM,20-Feb-2024 05:30 PM,27-Feb-2024 01:00 PM,NA ,NA ,20-Feb-2024 05:30 PM,27-Feb-2024 01:00 PM,28-Feb-2024 02:30 PM,Sr. xen Rakesh Kumar,Internal,"AE RAJKUMAR SHARMA,AE NITISH UPADHYAY",Rakesh Kumar,29-Feb-2024 12:45 PM,finsummary_128708.pdf (521.51 KB),1.0,411156.0,DIMPAL,INR,"458,437.79","HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2024_HPSEB_86534_1,HPSEBL/TCD/DB-7/89/2023-24,Providing and fixing wood work in frames (Chokhet) and framed door shutter Type III and IV qtrs. HPSEBL colonyat Sunder Nagar.,1.0,411156.0,DIMPAL,26-Feb-2024 05:11 PM,Accepted-AOC,L-1,29-Feb-2024,Rakesh Kumar,Internal,"AE Raj Kumar, AE Nitish Upadhayay",Rakesh Kumar,28-Feb-2024 02:02 PM,28-Feb-2024 02:30 PM,techsummary_128708.pdf (640.72 KB),Technical,summary,Rakesh Kumar,28-Feb-2024 01:58 PM,technical_128708.pdf,Finance,summary,Rakesh Kumar,28-Feb-2024 04:11 PM,finance_128708.pdf,BOQ Comparative Chart,29-Feb-2024,"INR 458,438",30.0,Rakesh Kumar,29-Feb-2024 01:08 PM,DIMPLE.pdf (341.00 KB),AWARD LETTER
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF PAN CARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,410601.0,NAVEEN CONTRACTOR,25-Feb-2024 10:31 PM,Rejected-AOC,L-4,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,410596.0,PARDEEP KUMAR,25-Feb-2024 10:39 PM,Rejected-AOC,L-3,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX RETURN OF LAST THREE YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,410584.0,RAJ KUMAR,25-Feb-2024 10:53 PM,Rejected-AOC,L-2,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE CERITIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF NON BLACKLISTING CERIFICATE JUDICIAL CERIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF WORKDONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
