Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-02/2023-24,2023_HPSEB_73113_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,corigendum2,Date,,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,590.0,Nil,Nil,No,SE (OP) Circle Nahan,SE (OP) Circle Nahan,10-May-2023 05:30 PM,24-May-2023 03:30 PM,11-May-2023 10:00 AM,23-May-2023 12:00 PM,11-May-2023 10:00 AM ,20-May-2023 05:00 PM ,11-May-2023 11:00 AM,23-May-2023 12:00 PM,03-Aug-2023 03:30 PM,"7,310",No,fixed,,Nil,Nil,OCN/DB-27/NIT-No-02/2023-24,E-Tender for Partial Turn Key Basis for Prov. SOP to LWSS Devlah (Jal Shakti Vibhag) by Prov. 250 KVA DTR along with HT LT line in ES Shillai UESD Shillai. (Ch to - Deposit Scheme),A Class License with Similar nature of Work Experience ,NA ,"7,30,339",Electrical Works,HT LT and Sub-Station ,Tender,90.0,90.0,Shillai,173027.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,1.0,ICICI BANK,Er. Darshan Singh,Internal,"AAO, Sr.XEN and CHDM",Darshan Singh,03-Aug-2023 02:40 PM,03-Aug-2023 03:30 PM,techsummary_109946.pdf (258.89 KB),1.0,348032.0,M/s Arunodaya Multi Services Pvt. Ltd.,21-May-2023 09:35 AM,Rejected-Technical,disqualified,03-Aug-2023,Finance,price bid open,Darshan Singh,03-Aug-2023 04:17 PM,,BOQ Comparative Chart,Technical,techno-Commercial Bid Opened,Darshan Singh,24-May-2023 04:19 PM,,26-Feb-2024,"INR 547,754",10.0,Darshan Singh,26-Feb-2024 05:36 PM,LOA.pdf (504.00 KB),"M/s. Rawat Enterprises, amounting to rs. Rs. 5,47,754/- (Five Lac Forty-Seven Thousand Seven Hundred Fifty-Four only)",Er. Darshan Singh,Internal,"AO/Sr.XEN, AAO and CHDM",Darshan Singh,24-Jul-2024 03:24 PM,finsummary_109946.pdf (258.89 KB),1.0,347417.0,M/s Rawat Enterprises,INR,"547,754",HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_73113_1,OCN/DB-27/NIT-No-02/2023-24,OCN/DB-27/NIT-No-02/2023-24
,,,,,,,,,,,,,,,,,,,,.pdf,License registered with CEI of HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,347417.0,M/s Rawat Enterprises,16-May-2023 02:50 PM,Accepted-AOC,L1,26-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of Work Experience as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,348237.0,Nasir Mohd Rawat,20-May-2023 06:08 PM,Rejected-Finance,L2,12-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affadavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,ITR/Bid Capacity/Turn Over with CA Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.xls,Bid Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.xls,Techno-Commercial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
