S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,08-Jan-2024 10:00 AM,23-Jan-2024 11:30 AM,08-Jan-2024 10:00 AM,22-Jan-2024 03:30 PM,NA ,NA ,08-Jan-2024 10:00 AM,22-Jan-2024 03:30 PM,03-Feb-2024 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender fee and EMD deposited.,"5,440",No,fixed,,Nil,Nil,560.0,Nil,Nil,No,Senior Executive Engineer,"P and M Electrical Division, Uhl stage-III, BVPCL, Chullah, Jogindernagar","Supply, erection, testing and commissioning of digital hand held, license free synthesized walkie talkie sets","Supply, erection, testing and commissioning of digital hand held, license free synthesized walkie talkie sets for wireless communication including subscription charges for one year at 3x33.33 MW Uhl Stage-III HEP, BVPCL, Chullah",Please refer Tender documents. ,NA ,"5,44,009",Miscellaneous Works,NA ,Tender,90.0,60.0,Uhl stage-III HEP Chullah,175015.0,NA ,NA ,NA ,Uhl stage-III HEP Chullah,No ,No,1.0,Extension of Dates,Date,,HPSEBL||MD BVPCL Jogindernagar||SE (E)||P and M Div.,BVPCL/P and M (E) Div./02/2023-24,2024_HPSEB_83635_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Finance,Financial bids opened succesfully,Shaleshwar Rana,03-Feb-2024 03:10 PM,,BOQ Comparative Chart,Technical,Techno commercial bid opened,Shaleshwar Rana,02-Feb-2024 03:53 PM,,15-Feb-2024,"INR 533,124",60.0,Shaleshwar Rana,15-Feb-2024 03:28 PM,Loa.pdf (1213.00 KB),Shaleshwar Rana,Internal,Assistant Engineer PnM ESD II BVPCL Superintendent Divisional Accountant Bassi Power House HPSEBL HDM PnM Electrical Division BVPCL,Shaleshwar Rana,02-Feb-2024 04:03 PM,03-Feb-2024 03:00 PM,techsummary_124268.pdf (255.36 KB),1.0,396786.0,GLOBAL ELECTRONICS AND TELECOM SYSTEMS,19-Jan-2024 11:30 AM,Accepted-AOC,L1 Accepted,15-Feb-2024,Senior Executive Engineer,Internal,Assistant Engineer PnM ESD II BVPCL Divisional Accountant Bassi Power House HPSEBL Junior Engineer Drawing Branch PnM Division BVPCL,Shaleshwar Rana,15-Feb-2024 03:25 PM,finsummary_124268.pdf (339.63 KB),HPSEBL||MD BVPCL Jogindernagar||SE (E)||P and M Div.,2024_HPSEB_83635_1,BVPCL/P and M (E) Div./02/2023-24,"Supply, erection, testing and commissioning of digital hand held, license free synthesized walkie talkie sets",1.0,396786.0,GLOBAL ELECTRONICS AND TELECOM SYSTEMS,INR,"533,124"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Scanned copy of GST No. and PAN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,399666.0,hets telecom,22-Jan-2024 02:57 PM,Rejected-Technical,Pre qualification criteria not fulfilled,02-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Work experience as per clause 2.1 of section -II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,397382.0,STELE COMMUNICATIONS,18-Jan-2024 11:42 AM,Rejected-AOC,L2 Not accepted,15-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy of last three year ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit/ Certificate from CA mentioning Financial Turnover of last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,"signed copy of Bid submission form, Form-III.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Certificate of OEM/ authorization by OEM for participating in particular bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Scanned copy of Non blacklisted certificate on non Juducial stamp paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Other requisite documents as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
