Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Executive Engineer,Internal,"AE Gaggal, AE Shahpur, Sr. Assistant Shahpur Divsion",Vipul Punj,29-Feb-2024 03:36 PM,finsummary_103708.pdf (21.68 KB),29-Feb-2024,"INR 3,699,540.5",90.0,Vipul Punj,29-Feb-2024 03:41 PM,award.pdf (1583.00 KB),PWD,2023_PWD_68763_4,5861-5899 dated 2-2-2023,Periodic Maintenance of Dadhamb to Durgella road under AMP District Kangra for the year 2023-24 Rural Road (HP0413VR049 ),Er. Rajeev Sharma,Internal,"Er. Vipul Punj A.E. Shahapur, Er. Vivek kalia A.E. Gaggal, Sh. Anurag Sharma Sr. Asstt.",Rajeev Kumar,27-Feb-2023 01:25 PM,28-Feb-2023 11:00 AM,techsummary_103708.pdf (802.44 KB),Finance,Executive Engineer AE Gaggal AE Shahpur Sr. assistant Shahpur division,Vipul Punj,29-Feb-2024 03:31 PM,finance_103708.pdf,BOQ Comparative Chart,1.0,325642.0,Yashpal,INR,"3,597,531",Technical,Summary,Rajeev Kumar,27-Feb-2023 01:23 PM,technical_103708.pdf,1.0,325675.0,Gandhrav Singh & Sons (Org),20-Feb-2023 02:22 PM,Rejected-Finance,Highest Rate,29-Feb-2024,PWD,5861-5899 dated 2-2-2023,2023_PWD_68763_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),"Executive Engineer HPPWD., Shahpur Division","Executive Engineer HPPWD., Shahpur Division",Periodic Maintenance of Dadhamb to Durgella road under AMP District Kangra for the year 2023-24 Rural Road (HP0413VR049 ),"(SH - P/L 30mm Thick Bituminous Concrete laying with Paver Finisher in KM 4/0 to 5/0 , 5/0 to 6/0 and 6/0 to 6/250",Please refer Tender documents. ,NA ,"34,26,767",Civil Works,NA ,Tender,120.0,90.0,Wokrs,176206.0,NA ,NA ,NA ,"Executive Engineer HPPWD., Shahpur Division",No ,No,1.0,ICICI BANK,"1,500",Nil,Nil,No,"68,535",No,fixed,,Nil,Nil,14-Feb-2023 10:00 AM,21-Feb-2023 10:30 AM,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,NA ,NA ,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,28-Feb-2023 11:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325642.0,Yashpal,20-Feb-2023 10:29 PM,Accepted-AOC,negotiated rate,29-Feb-2024,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP installed within 25 Kms from site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
