Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Bank Name,Name,Address
08-Feb-2024,"INR 22,333,332",365.0,Sanjay Katoch,08-Feb-2024 04:26 PM,Award123.pdf (1465.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,28-Apr-2022 12:02 PM,finsummary_88543.pdf (613.94 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,18-Apr-2022 01:29 PM,19-Apr-2022 02:30 PM,techsummary_88543.pdf (988.75 KB),PWD,2022_PWD_58553_1,C/O Residential Building HPSSC Hamirpur Type-II 9,C/O Residential Building for Officers and Officials HP Staff Selection Commission Hamirpur Distt. Hamirpur,Technical,Attached,Vivek Sharma,18-Apr-2022 01:27 PM,technical_88543.pdf,1.0,273952.0,Himachal Techno Engineers,31-Mar-2022 10:32 AM,Rejected-Finance,l2,28-Apr-2022,Finance,Attached,Vivek Sharma,28-Apr-2022 11:58 AM,finance_88543.pdf,BOQ Comparative Chart,1.0,274106.0,Sohan Singh Govt. Contractor,INR,"223,333,332.07",1.0,Corrigendum,Date,,"2,49,900",No,fixed,,Nil,Nil,25-Mar-2022 09:00 AM,02-Apr-2022 11:30 AM,25-Mar-2022 09:00 AM,02-Apr-2022 10:30 AM,NA ,NA ,25-Mar-2022 09:00 AM,02-Apr-2022 10:30 AM,19-Apr-2022 02:30 PM,C/O Residential Building for Officers and Officials HP Staff Selection Commission Hamirpur Distt. Hamirpur,SH C/O 9 Nos Type-II Qtrs,Please refer Tender documents. ,NA ,"2,17,36,725",Civil Works - Buildings,NA ,Tender,60.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"5,000",Nil,Nil,No,PWD,C/O Residential Building HPSSC Hamirpur Type-II 9,2022_PWD_58553_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274106.0,Sohan Singh Govt. Contractor,31-Mar-2022 07:33 AM,Accepted-AOC,l1,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274104.0,SS Construction Company,31-Mar-2022 05:50 AM,Rejected-Technical,Rejected,18-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,273372.0,SUPER CONSTRUCTION,30-Mar-2022 06:40 PM,Rejected-Finance,l3,28-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year,,,,,,,,,,,,,,,,,,,,,,
