S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,25-Jan-2023 06:00 PM,31-Jan-2023 11:00 AM,25-Jan-2023 06:00 PM,30-Jan-2023 06:00 PM,NA ,NA ,25-Jan-2023 06:00 PM,30-Jan-2023 06:00 PM,31-Jan-2023 02:00 PM,1.0,ICICI BANK,"13,200",No,fixed,,Nil,Nil,PWD,PW-RD-CB-Tender/22-17392-17491 dt.17.01.23,2023_PWD_67311_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE HPPWD ROHRU,EE HPPWD ROHRU,500.0,Nil,Nil,No,RR Damages to various road under Tikkar Sub Division,SH Hiring of JCB Excavator cum-loader for removal of snow and slips from road surface various Rds and various roads,Please refer Tender documents. ,NA ,"6,60,000",Civil Works,NA ,Tender,45.0,180.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,1.0,317798.0,Anil Chauhan,30-Jan-2023 02:06 PM,Rejected-Finance,Due to 2nd lowest,13-Feb-2023,Technical,Summery,Duni Chand Chauhan,31-Jan-2023 01:16 PM,technical_101468.pdf,1.0,318047.0,Yogesh Chauhan,INR,"666,000",Finance,Summery,Chuni Lal Azad,31-Jan-2023 02:46 PM,finance_101468.pdf,BOQ Comparative Chart,Er. Pawan,Internal,"Er. C.L.AZAD, Naveen Chauhan , Sanjay Thakur",Duni Chand Chauhan,31-Jan-2023 01:27 PM,31-Jan-2023 02:00 PM,techsummary_101468.pdf (419.46 KB),PWD,2023_PWD_67311_3,PW-RD-CB-Tender/22-17392-17491 dt.17.01.23,RR Damages to various road under Tikkar Sub Division,21-Feb-2024,"INR 660,000",180.0,Chuni Lal Azad,21-Feb-2024 03:37 PM,summery.pdf (520.00 KB),AOC,Er. Pawan,Internal,"Er. C.L. AZAD , Sanjy Thakur , Naveen kumer",Pawan Kumar Garg,13-Feb-2023 02:41 PM,finsummary_101468.pdf (404.63 KB)
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,2.0,317389.0,SITA RAM THAKUR,30-Jan-2023 03:57 PM,Rejected-Finance,Due to 3rd lowest,13-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,3.0,318047.0,Yogesh Chauhan,30-Jan-2023 05:55 PM,Accepted-AOC,AOC,21-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5 (Similar work done forty percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
