Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2023_BBNDA_82224_1,BBNDA-06(PROJECT)NIT/12891-901 DATED30.11.2023,"C/o link road at village- Thanthewal, Tehsil-Nalagarh Distt. Solan (HP)",1.0,389999.0,gobind sahib enterprises,INR,"1,313,897",Addl CEO,Internal,"EE, AE I, AE II, SO, JDM and Clerk",PREM PAUL,23-Dec-2023 12:59 PM,finsummary_122253.pdf (583.04 KB),Finance,Financial Summary,PREM PAUL,23-Dec-2023 12:46 PM,finance_122253.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,PREM PAUL,18-Dec-2023 10:47 AM,technical_122253.pdf,22-Feb-2024,"INR 2,309,134",90.0,PREM PAUL,27-Feb-2024 12:05 PM,GObindAOC.pdf (946.00 KB),AOC,Addl CEO,Internal,"EE, JC, AE I, AE II, JDM and Clerk",PREM PAUL,20-Dec-2023 11:22 AM,21-Dec-2023 11:00 AM,techsummary_122253.pdf (853.36 KB),1,391208,AVTAR SINGH GOVT CONTRACTOR,14-Dec-2023 06:38 PM,Rejected-Finance,Reject,23-Dec-2023,1.0,ICICI BANK,05-Dec-2023 05:00 PM,15-Dec-2023 11:30 AM,05-Dec-2023 05:00 PM,15-Dec-2023 11:00 AM,05-Dec-2023 05:00 PM ,14-Dec-2023 05:00 PM ,05-Dec-2023 05:00 PM,15-Dec-2023 11:00 AM,21-Dec-2023 11:00 AM,"46,200",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,BBNDA-06(PROJECT)NIT/12891-901 DATED30.11.2023,2023_BBNDA_82224_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE BBNDA BADDI,BBNDA BADDI,1.0,Fee/PreQual/Technical,.pdf,NIT,"C/o link road at village- Thanthewal, Tehsil-Nalagarh Distt. Solan (HP)","C/o link road at village- Thanthewal, Tehsil-Nalagarh Distt. Solan (HP)",Please refer Tender documents. ,NA ,"23,09,134",Civil Works,NA ,Tender,75.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,BBNDA BADDI,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,391205,Darshan Singh,14-Dec-2023 07:08 PM,Rejected-Finance,Reject,23-Dec-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,389999,gobind sahib enterprises,12-Dec-2023 07:28 PM,Accepted-AOC,Accept,27-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,391224,IMRAN KHAN,14-Dec-2023 08:39 PM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,389884,kuldeep chand,15-Dec-2023 08:23 AM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,390621,mustak,13-Dec-2023 06:46 PM,Rejected-AOC,Reject,27-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,389965,NARANJAN DASS,14-Dec-2023 10:47 PM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,391228,RAJ KUMAR,14-Dec-2023 08:59 PM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,389469,RAM BINDER SINGH,11-Dec-2023 06:07 PM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,391124,RAM PAL CHANDEL,14-Dec-2023 02:34 PM,Rejected-Finance,Reject,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
