S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,ICICI BANK,EE HPPWD ROHRU,EE HPPWD ROHRU,C O link road to Vill Khashkandi Km. 0.0 to 0.700,SH P L Kharanja stone soling at Rd. 0.160 to 0.230 and 0.480 to 0.555 and improvement of curve at Rd. 0/435 to 0/480),Please refer Tender documents. ,NA ,"7,51,228",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,"15,100",No,fixed,,Nil,Nil,PWD,No.PW-RD-CB-T /22-1109-1208 dt. 26.04.23,2023_PWD_72517_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-May-2023 06:00 PM,08-May-2023 11:00 AM,01-May-2023 06:00 PM,07-May-2023 06:00 PM,NA ,NA ,01-May-2023 06:00 PM,07-May-2023 06:00 PM,19-May-2023 10:00 AM,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,1.0,345634.0,DINESH KUMAR,07-May-2023 07:55 AM,Rejected-Finance,2nd lowest,01-Jul-2023,Technical,Summery,Duni Chand Chauhan,10-May-2023 10:08 AM,technical_109065.pdf,1.0,345622.0,Kanti Lal,INR,"999,878",Finance,Summery,Duni Chand Chauhan,19-May-2023 12:20 PM,finance_109065.pdf,BOQ Comparative Chart,PWD,2023_PWD_72517_2,No.PW-RD-CB-T /22-1109-1208 dt. 26.04.23,C O link road to Vill Khashkandi Km. 0.0 to 0.700,Er. Rahul Sood,Internal,"Er. C.L.AZAD, Randhir Chauhan , Naveen Chauhan , Vijay Dhauta",Chuni Lal Azad,18-May-2023 07:09 PM,19-May-2023 10:00 AM,techsummary_109065.pdf (412.70 KB),Er. Rahul Sood,Internal,Er. Rahul Sood,Chuni Lal Azad,01-Jul-2023 02:57 PM,finsummary_109065.pdf (692.44 KB),18-Feb-2024,"INR 999,878",60.0,Chuni Lal Azad,18-Feb-2024 10:24 AM,corri.pdf (287.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,2.0,345622.0,Kanti Lal,06-May-2023 07:10 PM,Accepted-AOC,accepted,18-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5 (Similar work done forty percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
