Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Er. K. K. Bhardwaj,"O/o SE (Design), ES, HPSEBL, Hamirpur (HP)",1.0,Fee/PreQual/Technical,.rar,Test Reports,"82,600",Yes,fixed,,Nil,Nil,1.0,Corrigendum 6,Date,,25-Aug-2022 09:00 AM,23-Nov-2022 03:00 PM,25-Aug-2022 09:00 AM,22-Nov-2022 01:00 PM,NA ,NA ,15-Sep-2022 09:00 AM,22-Nov-2022 01:00 PM,06-Jan-2023 03:15 PM,"1,180",Nil,Nil,No,Relay,"DESIGN, ENGINEERING, MANUFACTURING, TESTING AT MANUFACTURERS WORKS, DELIVERY AT F.O.R DESTINATION STATION, ERECTION, TESTING and COMMISSIONING AND RETROFITTING OF RELAYS IN THE EXISTING C AND R PANELS COMPLETE IN ALL RESPECTS IN VARIOUS SUB-STATIONS",Please refer Tender documents. ,NA ,"82,51,000",Electrical Works,NA ,Tender,240.0,180.0,At various sub-stations in Himachal Pradesh,177001.0,Hamirpur (HP) ,"O/o SE (Design), ES, HPSEBL, Hamirpur (HP) ",31-Aug-2022 11:00 AM ,Hamirpur (HP),No ,No,1.0,ICICI BANK,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 508/2022,2022_HPSEB_64015_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,301442.0,ASHIDA ELECTRONICS PVT LTD,06-Oct-2022 11:39 AM,Accepted-AOC,L1,05-Feb-2024,SE (DESIGN),Internal,SE XEN AE,Puneet Chaudhary,06-Jan-2023 03:10 PM,06-Jan-2023 03:15 PM,techsummary_96440.pdf (94.95 KB),Technical,Part 1 of tender has been opened,Narender Pal Abrol,23-Nov-2022 03:07 PM,technical_96440.pdf,Finance,price Bid of responsive have been opened,Narender Pal Abrol,06-Jan-2023 03:22 PM,finance_96440.pdf,BOQ Comparative Chart,05-Feb-2024,"INR 4,049,990",180.0,Balesh Kumar Sharma,05-Feb-2024 01:15 PM,508Award.pdf (507.00 KB),The award to the firm for supply and erection of Relays has been issued on 18.09.2023 and the contract agreement has been signed on 19.10.2023.,SE (Design),Internal,"SE (Design), Sr Xen, AE",Balesh Kumar Sharma,05-Feb-2024 01:05 PM,finsummary_96440.pdf (100.59 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_64015_1,SSD 508/2022,Relay,1.0,301442.0,ASHIDA ELECTRONICS PVT LTD,INR,"4,049,990"
,,,,.pdf,List of Past Supplies,,,,,,,2.0,Pre Bid Clarifications,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,304297.0,GE T and D India Limited,15-Nov-2022 10:53 AM,Rejected-AOC,L2,05-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,PERFORMANCE CERTIFICATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.rar,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Power of attorney to sign tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
