Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address
03-Feb-2024,"INR 1,466,128",45.0,Vinod Shyam,03-Feb-2024 11:59 AM,1.pdf (845.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,04-Dec-2023 12:12 PM,finsummary_120316.pdf (191.17 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contractor",Akhil Chauhan,29-Nov-2023 04:12 PM,29-Nov-2023 04:15 PM,techsummary_120316.pdf (4216.38 KB),PWD,2023_PWD_80813_6,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,"R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/Wall at R.D. 0/360 to 0/373, 3/737 to 3/745 and 4/762 to 4/779",1.0,382995.0,HPPWD,INR,"1,518,203",Finance,summary uploaded,Akhil Chauhan,04-Dec-2023 12:10 PM,finance_120316.pdf,BOQ Comparative Chart,Technical,summary uploaded,Akhil Chauhan,29-Nov-2023 04:10 PM,technical_120316.pdf,1.0,382995.0,HPPWD,08-Nov-2023 04:16 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,03-Feb-2024,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No,03-Nov-2023 11:00 AM,09-Nov-2023 11:00 AM,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,NA ,NA ,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,29-Nov-2023 04:15 PM,1.0,ICICI BANK,"30,000",No,fixed,,Nil,Nil,"R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/Wall at R.D. 0/360 to 0/373, 3/737 to 3/745 and 4/762 to 4/779","R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/Wall at R.D. 0/360 to 0/373, 3/737 to 3/745 and 4/762 to 4/779",Please refer Tender documents. ,NA ,"14,66,128",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,PWD,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,2023_PWD_80813_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD DIVISION KOTKHAI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,383325.0,Kapil Dev,08-Nov-2023 04:52 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
