Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name
Technical,BID,Mandeep Gupta,22-Sep-2023 07:31 AM,technical_116358.pdf,Finance,Proceeding,Mandeep Gupta,23-Dec-2023 05:17 PM,finance_116358.pdf,BOQ Comparative Chart,02-Feb-2024,"INR 1,457,506",365.0,Mandeep Gupta,02-Feb-2024 12:50 PM,AOC.pdf (668.00 KB),Work Awrded,1.0,369182.0,Lekh Ram,30-Aug-2023 04:14 PM,Rejected-Finance,REject,02-Jan-2024,Executive Enginner,Internal,Suptd DA HSM,Mandeep Gupta,22-Sep-2023 07:46 AM,22-Sep-2023 11:00 AM,techsummary_116358.pdf (548.72 KB),1.0,369173.0,vinod kumar,INR,"1,116,000","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_77939_8,2353-2452 dated 16-08-2023,Operation and maintenance of LWSS to Dhanach Chukhriya in GP Dhanach Manwa Tehsil Rajgarh Distt. Sirmour Tehsil Rajgarh Distt. Sirmour,EE,Internal,HDM Suptd DA,Mandeep Gupta,02-Jan-2024 07:03 PM,finsummary_116358.pdf (548.14 KB),1.0,Fee/PreQual/Technical,.pdf,latest copy of Enlistment,400.0,EE Rajgarh,Rajgarh,No,"22,350",Yes,fixed,,EE Rajgarh,Rajgarh,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2353-2452 dated 16-08-2023,2023_HPIPH_77939_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,Jal Shakti Division Rajgarh,24-Aug-2023 06:00 PM,31-Aug-2023 11:30 AM,24-Aug-2023 06:00 PM,31-Aug-2023 11:00 AM,NA ,NA ,24-Aug-2023 06:00 PM,31-Aug-2023 11:00 AM,22-Sep-2023 11:00 AM,Operation and maintenance of LWSS to Dhanach Chukhriya in GP Dhanach Manwa Tehsil Rajgarh Distt. Sirmour Tehsil Rajgarh Distt. Sirmour,"SH Running, operation, maintenance of scheme including distribution system 1st 2nd stage rising main for one year",Please refer Tender documents. ,NA ,"11,16,380",Repair and Maintenance Works,labour ,Tender,120.0,365.0,Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh,No ,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,2.0,369241.0,SHAMSHER PARKASH,31-Aug-2023 07:23 AM,Rejected-Finance,Reject,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,3.0,369173.0,vinod kumar,30-Aug-2023 03:40 PM,Accepted-AOC,Work Awarded,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit that the firm has not been blacklisted by the Govt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor having expe. minimum Three year to running the scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the contractor must have a valid copy of authorization from where he will get pumping machinery repa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
