Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Er. J.S. Thakur,Internal,"Supdt Gr-II, Sr DAO, HDM, TA",Jagtar Singh Thakur,03-Feb-2024 01:24 PM,finsummary_122780.pdf (191.82 KB),03-Feb-2024,"INR 2,788,500",180.0,Jagtar Singh Thakur,04-Feb-2024 04:10 PM,Awardletter.pdf (667.00 KB),PWD,2023_PWD_82569_1,dshala 10971-11000,"Construction of 6 Nos Type-III, 6 Nos Type-II and 6 Nos Tyep-I staff Quarter near CMO residence at Dharamsala in District Kangra, (H.P.) Deposit work",Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. O P Sharrma Supdt. Sh. Satish Kumar HDM Sh. Sanjay Kumar TA,Jagtar Singh Thakur,22-Dec-2023 11:59 AM,22-Dec-2023 12:00 PM,techsummary_122780.pdf (233.42 KB),Technical,As per document attached,Tarlok Dhiman,20-Dec-2023 11:42 AM,technical_122780.pdf,1.0,392399.0,Anuj,18-Dec-2023 01:42 PM,Rejected-Finance,Highst Bidder,03-Feb-2024,Finance,As per document attached,Tarlok Dhiman,22-Dec-2023 12:17 PM,finance_122780.pdf,BOQ Comparative Chart,1.0,391312.0,sudhir kumar,INR,"2,927,835","1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,"Construction of 6 Nos Type-III, 6 Nos Type-II and 6 Nos Tyep-I staff Quarter near CMO residence at Dharamsala in District Kangra, (H.P.) Deposit work",SH - Construction of 6 Nos Type-II qtrs Civil work including Water Supply and Sanitary Installation Balance work,Please refer Tender documents. ,NA ,"27,88,500",Civil Works,NA ,Tender,75.0,180.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,13-Dec-2023 09:00 AM,20-Dec-2023 11:00 AM,13-Dec-2023 09:00 AM,19-Dec-2023 05:00 PM,NA ,NA ,13-Dec-2023 09:00 AM,19-Dec-2023 05:00 PM,22-Dec-2023 12:00 PM,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,ICICI BANK,PWD,dshala 10971-11000,2023_PWD_82569_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"55,770",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,391312.0,sudhir kumar,18-Dec-2023 01:14 PM,Accepted-AOC,L1,04-Feb-2024,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
