Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Summary,Manoj Sood,02-Feb-2024 04:47 PM,finance_124966.pdf,BOQ Comparative Chart,1.0,399872.0,ayush,INR,"753,095",Technical,Summary Attached,Manoj Sood,31-Jan-2024 11:49 AM,technical_124966.pdf,1.0,400204.0,ARPIT CHOUDHARY,26-Jan-2024 01:04 PM,Rejected-Finance,L3,02-Feb-2024,02-Feb-2024,"INR 753,094.88",60.0,Manoj Sood,12-Mar-2024 03:40 PM,AOC.pdf (385.00 KB),AOC,Sh. Vineet Kumar Sharma,Internal,,Manoj Sood,02-Feb-2024 04:51 PM,finsummary_124966.pdf (200.82 KB),Sh. Vineet Kumar Sharma,Internal,Manoj Sood AEtoEE Subhash Chand Supdt. Mukesh Kumar JDM Naveen Kumar DAO Manjeet Kumar Sr.Asstt,Manoj Sood,31-Jan-2024 11:55 AM,31-Jan-2024 12:00 PM,techsummary_124966.pdf (606.55 KB),PWD,2024_PWD_84136_1,NIT No.13586-13645 DT.15-01-2024,Construction of Play Ground at Govt. Sen. Sec. School at Daroh Tehsil Palampur Distt. Kangra (HP),O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,PWD,NIT No.13586-13645 DT.15-01-2024,2024_PWD_84136_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Play Ground at Govt. Sen. Sec. School at Daroh Tehsil Palampur Distt. Kangra (HP),P/L Red sand stone flooring on Basketball ground including Flood lights,Please refer Tender documents. ,NA ,"10,80,636",Civil Works - Others,NA ,Tender,75.0,NA ,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,"22,000",No,fixed,,Nil,Nil,18-Jan-2024 10:00 AM,29-Jan-2024 11:30 AM,18-Jan-2024 10:05 AM,29-Jan-2024 11:00 AM,NA ,NA ,18-Jan-2024 10:30 AM,29-Jan-2024 11:00 AM,31-Jan-2024 12:00 PM
,,,,,,,,,,,,,,,,2.0,399872.0,ayush,29-Jan-2024 10:06 AM,Accepted-AOC,Bid Rank-L1,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,400935.0,banmala chauhan,29-Jan-2024 10:58 AM,Rejected-Finance,L4,02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,400879.0,SANJAY SAINI,28-Jan-2024 08:32 PM,Rejected-Finance,L2,02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,
