Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
SE,Internal,"DM, Manager (F), EE(HQ)",BHUP SINGH,03-Jan-2024 02:17 PM,finsummary_121238.pdf (26.91 KB),HP SIDC Limited,2023_SIDC_81467_1,Job No. 2,"Development of Medical Device Park at Nalagarh Distt. Solan (HP). (SH- Internal Electrical work of admin building, warehouse and Flatted factories).",29-Feb-2024,"INR 9,666,270",180.0,Sushant Singh Negi,15-Mar-2024 11:36 AM,ratwanfactoriesaoc.pdf (1681.00 KB),Award letter,1.0,386225.0,Ratwan Light House,INR,"9,666,270",Technical,Tender Summary,Sushant Singh Negi,29-Dec-2023 02:16 PM,technical_121238.pdf,SE,Internal,"DM, AE(Elect), Manager(F), EE(HQ)",Sushant Singh Negi,29-Dec-2023 02:17 PM,30-Dec-2023 11:00 AM,techsummary_121238.pdf (659.43 KB),1.0,385257.0,ARUN KUMAR SHARMA,28-Nov-2023 11:44 AM,Rejected-Finance,second lowest bidder,03-Jan-2024,Finance,Tender Summary,BHUP SINGH,03-Jan-2024 02:14 PM,finance_121238.pdf,BOQ Comparative Chart,1.0,Fee/PreQual/Technical,.pdf,Appropriate Electrical Contractor registration (as per tender condition),Executive Engineer,HPSIDC Shimla,HP SIDC Limited,Job No. 2,2023_SIDC_81467_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,16-Nov-2023 11:30 AM,29-Nov-2023 11:00 AM,16-Nov-2023 11:30 AM,28-Nov-2023 05:00 PM,NA ,NA ,16-Nov-2023 11:30 AM,28-Nov-2023 05:00 PM,30-Dec-2023 11:00 AM,1.0,ICICI BANK,"2,30,000",No,fixed,,Nil,Nil,"5,900",Nil,Nil,No,"Development of Medical Device Park at Nalagarh Distt. Solan (HP). (SH- Internal Electrical work of admin building, warehouse and Flatted factories).","(SH- Internal Electrical work of admin building, warehouse and Flatted factories).",Please refer Tender documents. ,NA ,"1,14,52,479",Electrical Works,NA ,Tender,120.0,180.0,Medical Device Park Nalagarh,174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,384893.0,DHARMENDER SINGH,27-Nov-2023 04:59 PM,Rejected-Finance,fourth lowest bidder,03-Jan-2024,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386288.0,KUMAR ELECTRONICS CO.,28-Nov-2023 04:02 PM,Rejected-Finance,third lowest bidder,03-Jan-2024,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,386225.0,Ratwan Light House,28-Nov-2023 04:18 PM,Accepted-AOC,AOC,15-Mar-2024,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,complete details of existing commitments / ongoing work in hand in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details/ affidavit of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
