Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
21-Feb-2024,"INR 642,849",120.0,Jai Lal Kanta,21-Feb-2024 01:05 PM,79013_5.PDF (253.00 KB),AOC,Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,21-Feb-2024 01:02 PM,finsummary_117817.pdf (102.34 KB),Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,17-Nov-2023 05:19 PM,17-Nov-2023 05:25 PM,techsummary_117817.pdf (103.85 KB),PWD,2023_PWD_79013_5,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,R/R damages on Dilman Shina Ghat road Km 0/00 to 4/750 (SH C/O PCC R/Wall at Km 2/015 to 2/025),Finance,BID,Jai Lal Kanta,20-Feb-2024 06:00 PM,finance_117817.pdf,BOQ Comparative Chart,1.0,374415.0,NISHU BALA,INR,"642,844",Technical,SUMMARY,Jai Lal Kanta,17-Nov-2023 05:16 PM,technical_117817.pdf,1.0,374415.0,NISHU BALA,26-Sep-2023 07:52 PM,Accepted-AOC,Awarded,21-Feb-2024,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,350.0,Nil,Nil,No,EE HPPWD Sarahan,EE HPPWD SARAHAN,1.0,ICICI BANK,PWD,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,2023_PWD_79013_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"12,500",No,fixed,,Nil,Nil,R/R damages on Dilman Shina Ghat road Km 0/00 to 4/750 (SH C/O PCC R/Wall at Km 2/015 to 2/025),R/R damages on Dilman Shina Ghat road Km 0/00 to 4/750 (SH C/O PCC R/Wall at Km 2/015 to 2/025),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,120.0,EE HPPWD SARAHAN,173024.0,NA ,NA ,NA ,EE.HPPWD SARAHAN,No ,No,19-Sep-2023 11:00 AM,27-Sep-2023 11:30 AM,19-Sep-2023 11:10 AM,27-Sep-2023 10:30 AM,19-Sep-2023 11:00 AM ,27-Sep-2023 09:00 AM ,19-Sep-2023 11:30 AM,27-Sep-2023 10:30 AM,17-Nov-2023 05:25 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS CONDITIONS CONTRACT CLAUSES Refer Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY TOOL PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
