S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,R/R Damages on Oachghat Narag Dharyar road km 0/0 to 14/00 (SH C/O Toe wall/B/Wall between km 8/400 to 8/440 ),R/R Damages on Oachghat Narag Dharyar road km 0/0 to 14/00 (SH C/O Toe wall/B/Wall between km 8/400 to 8/440 ),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,120.0,EE HPPWD SARAHAN,173024.0,NA ,NA ,NA ,EE.HPPWD SARAHAN,No ,No,350.0,Nil,Nil,No,19-Sep-2023 11:00 AM,27-Sep-2023 11:30 AM,19-Sep-2023 11:10 AM,27-Sep-2023 10:30 AM,19-Sep-2023 11:00 AM ,27-Sep-2023 09:00 AM ,19-Sep-2023 11:30 AM,27-Sep-2023 10:30 AM,17-Nov-2023 05:25 PM,"12,000",Yes,fixed,,Nil,Nil,EE HPPWD Sarahan,EE HPPWD SARAHAN,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,PWD,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,2023_PWD_79013_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_79013_1,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,R/R Damages on Oachghat Narag Dharyar road km 0/0 to 14/00 (SH C/O Toe wall/B/Wall between km 8/400 to 8/440 ),Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,17-Nov-2023 05:21 PM,17-Nov-2023 05:25 PM,techsummary_117807.pdf (103.46 KB),Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,21-Feb-2024 01:00 PM,finsummary_117807.pdf (100.88 KB),21-Feb-2024,"INR 585,245",120.0,Jai Lal Kanta,21-Feb-2024 01:08 PM,79013_1.PDF (247.00 KB),AOC,1.0,374414.0,NISHU BALA,INR,"585,245",Finance,BID,Jai Lal Kanta,20-Feb-2024 05:56 PM,finance_117807.pdf,BOQ Comparative Chart,1.0,374414.0,NISHU BALA,26-Sep-2023 07:44 PM,Accepted-AOC,AOC,21-Feb-2024,Technical,summary,Jai Lal Kanta,17-Nov-2023 05:16 PM,technical_117807.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS CONDITIONS CONTRACT CLAUSES Refer Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY TOOL PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
