Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",Providing and installation of 40 KVA DG Set in Deputy Director Treasury Office cum Residence Building at Khaliyar District Mandi HP,Providing and installation of 40 KVA DG Set in Deputy Director Treasury Office cum Residence Building at Khaliyar District Mandi HP,please refer to bid doc ,NA ,"12,99,019",Electrical Works,NA ,Tender,75.0,90.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/23-24-7482-88 dt 17.01.24,2024_PWD_84570_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,Yes,"26,000",No,fixed,,Nil,Nil,27-Jan-2024 10:00 AM,03-Feb-2024 11:00 AM,27-Jan-2024 10:00 AM,03-Feb-2024 10:00 AM,NA ,NA ,27-Jan-2024 10:00 AM,03-Feb-2024 10:00 AM,08-Feb-2024 01:00 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,2024_PWD_84570_5,PW/MED/TA/NIT/ e-notice/23-24-7482-88 dt 17.01.24,Providing and installation of 40 KVA DG Set in Deputy Director Treasury Office cum Residence Building at Khaliyar District Mandi HP,Er. Poonam Sharma,Internal,HDM Supdt DA,Poonam Sharma,08-Feb-2024 12:37 PM,08-Feb-2024 01:00 PM,techsummary_125608.pdf (225.21 KB),Er. Poonam Sharma,Internal,SUPDT DA HDM,Poonam Sharma,23-Feb-2024 10:46 AM,finsummary_125608.pdf (209.86 KB),23-Feb-2024,"INR 1,299,019",90.0,Poonam Sharma,26-Feb-2024 04:36 PM,AOC1.pdf (312.00 KB),work awarded to Sh Avtar Krishan Electrical Contractor Class B being L1,1.0,402174.0,Avtar krishan,INR,"1,063,247",Finance,Financial Bid summary,Poonam Sharma,23-Feb-2024 10:33 AM,finance_125608.pdf,BOQ Comparative Chart,1.0,402174.0,Avtar krishan,02-Feb-2024 05:15 PM,Accepted-AOC,work awarded being L1,26-Feb-2024,Technical,techsummary,Poonam Sharma,08-Feb-2024 11:59 AM,technical_125608.pdf
,,.pdf,OEM or auth. agency of OEM as per appr make in BOQ as per TQC /appr firm for exec specl job by deptt,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,401457.0,Digvijay Sharma,02-Feb-2024 02:59 PM,Rejected-Finance,REJECTED BEING L4 CONTRACTOR,23-Feb-2024,,,,,
,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,402131.0,Guleria Electric and Contracts,02-Feb-2024 03:39 PM,Rejected-Finance,REJECTED BEING L4 CONTRACTOR,23-Feb-2024,,,,,
,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,402093.0,NARENDER SINGH GULERIA,02-Feb-2024 11:07 PM,Rejected-Finance,REJECTED BEING L4 CONTRACTOR,23-Feb-2024,,,,,
,,.pdf,Financial turnover of last three preceding financial years in which tender is invited as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,402179.0,RAJNEESH THAKUR,02-Feb-2024 07:08 PM,Rejected-Technical,bid disqualified,08-Feb-2024,,,,,
,,.pdf,Work in hand and work done certificates as per TQC with copy of award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,402057.0,SHARMA ELECTRICAL CO.,02-Feb-2024 11:32 AM,Rejected-Finance,REJECTED BEING L4 CONTRACTOR,23-Feb-2024,,,,,
,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
