S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,396503.0,OM PARKASH SHARMA AND SONS,INR,"17,942,596",Finance,SUMMARYATTACHED,Krishan Bhardwaj,22-Feb-2024 12:27 PM,finance_123950.pdf,BOQ Comparative Chart,Technical,SUMMARYATTACHED,Krishan Bhardwaj,16-Jan-2024 12:30 PM,technical_123950.pdf,1.0,396361.0,Anil Thakur,06-Jan-2024 04:31 PM,Rejected-Finance,L2,22-Feb-2024,22-Feb-2024,"INR 17,942,596",365.0,Krishan Bhardwaj,22-Feb-2024 12:38 PM,83397AWARD.pdf (1346.00 KB),WORKAWARDED TO M/S OM PARKASH SHARMA AND SONS VIDE THIS OFFICE L. NO. 14781-88 DT. 16.02.2024,EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Krishan Bhardwaj,22-Feb-2024 12:30 PM,finsummary_123950.pdf (453.26 KB),EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Krishan Bhardwaj,16-Jan-2024 12:32 PM,18-Jan-2024 11:30 AM,techsummary_123950.pdf (1477.55 KB),PWD,2024_PWD_83397_1,NIT NO. 11762-69 DATED 26.12.2023,BALANCE WORK CONSTRUCTION OF,BALANCE WORK CONSTRUCTION OF,SH CO ROFD 5-7mtr Wide road R-Wall B-Wall Soling wearing tarring drain parapets logo sign board and km stone etc,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,60.0,60.0,DIVISIONBHORANJ,177001.0,NA ,NA ,NA ,DIVISIONBHORANJ,No ,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,EXECUTIVEENGINEER,"EXECUTIVE ENGINEER, HPPWDDIVISION",PWD,NIT NO. 11762-69 DATED 26.12.2023,2024_PWD_83397_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of bid document and e-challan of bid security only mode through e-payment,"2,37,000",No,fixed,,Nil,Nil,03-Jan-2024 09:00 AM,08-Jan-2024 11:30 AM,03-Jan-2024 09:05 AM,08-Jan-2024 09:15 AM,NA ,NA ,03-Jan-2024 09:10 AM,08-Jan-2024 09:15 AM,18-Jan-2024 11:30 AM
,,,,,,,,,,,,,,,,2.0,396503.0,OM PARKASH SHARMA AND SONS,07-Jan-2024 04:46 PM,Accepted-AOC,WORKAWARDED,22-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I- Section -2 (4.1.1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,396554.0,Pardeed Kumar,07-Jan-2024 10:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification information (Q.I) As per section 3 (1.1 to 1.10) as per SBD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,396553.0,Sourabh Pathania Govt Contractor,07-Jan-2024 10:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per ITB section 2 (4.1.1), (4.2 a, b, c, g, h, I, j k)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,396479.0,VIJAY KUMAR,06-Jan-2024 08:50 PM,Rejected-Finance,L3,22-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per ITB Section 2 (4.4 A (a), 4.4A(b), 4.4B(a), 4.4B(b), 4.4B(c).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,396383.0,VIKHIL PROJECTS LLP,07-Jan-2024 07:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding more than 2 works in hand having cost more than 1.00 Crore,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Original affidavit regarding correctness of information furnished with bid documents,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form of Bid for Part I, II of the bid, as per format given in section 6",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking showing that the site has visited by the contractors/ firms,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/ firm may likes to provide,,,,,,,,,,,,,,,
