EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"12,824",No,fixed,,Nil,Nil,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2023-24-6993-98 Dated 24-01-2024,2024_HPSEB_84697_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,Tender for providing 22 KV HT Line to prop. 250 KVA S/Stn 22/0.4 KV S/Stn GTS-1 in Electrical Section Chheora under ESD HPSEBL Chhatri.,Tender for providing 22 KV HT Line to prop. 250 KVA S/Stn 22/0.4 KV S/Stn GTS-1 in Electrical Section Chheora under ESD HPSEBL Chhatri.,Please refer tender document  ,NA ,"5,12,968",Supply and Erection,Electricak Work ,Tender,180.0,60.0,Chhatri,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,1.0,ICICI BANK,590.0,Nil,Nil,No,29-Jan-2024 05:00 PM,08-Feb-2024 11:00 AM,30-Jan-2024 05:00 PM,07-Feb-2024 10:30 AM,NA ,NA ,30-Jan-2024 05:00 PM,07-Feb-2024 10:30 AM,14-Feb-2024 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,Date Corrigendum-1,Date,,"Office of Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",22-Feb-2024,"INR 512,968",60.0,Sushil Kumar,26-Feb-2024 12:11 PM,award93HTGTS1.pdf (2205.00 KB),Awarded to M/S Koyla Engineering Works (L-1) which found lowest,Finance,Financial bid opened by tender committee.,Sushil Kumar,22-Feb-2024 04:45 PM,finance_125819.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,14-Feb-2024 01:21 PM,technical_125819.pdf,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,14-Feb-2024 03:27 PM,14-Feb-2024 03:30 PM,techsummary_125819.pdf (510.89 KB),1.0,402554.0,Koyla Engineering Works,06-Feb-2024 06:13 PM,Accepted-AOC,Awarded to M/S Koyla Engineering Works (L-1) which found lowest,26-Feb-2024,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,22-Feb-2024 04:56 PM,finsummary_125819.pdf (2839.11 KB),1.0,402554.0,Koyla Engineering Works,INR,"530,695",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2024_HPSEB_84697_1,184619/DB/2023-24-6993-98 Dated 24-01-2024,Tender for providing 22 KV HT Line to prop. 250 KVA S/Stn 22/0.4 KV S/Stn GTS-1 in Electrical Section Chheora under ESD HPSEBL Chhatri.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,403012.0,SATPAL,06-Feb-2024 07:05 PM,Rejected-Finance,L3,22-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,403007.0,VISHAL ELECTRICAL GOVT CONT,06-Feb-2024 06:45 PM,Rejected-Finance,L2,22-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
