Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Technical,SUMMARY,Ram Singh Thakur,14-Jun-2023 10:39 AM,technical_111355.pdf,1.0,352748.0,amar jeet,08-Jun-2023 09:16 AM,Rejected-Finance,L6,21-Jun-2023,1.0,352497.0,Ankush kumar,INR,"1,065,475",Finance,SUMMARY,Ram Singh Thakur,21-Jun-2023 11:15 AM,finance_111355.pdf,BOQ Comparative Chart,09-Feb-2024,"INR 1,065,475",60.0,Ram Singh Thakur,09-Feb-2024 11:33 AM,AOC.pdf (845.00 KB),work awarded to Sh. Ankush Kumar Govt. Contractor,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Sh. Kishan Singh DM, Sr. Balbir singh Sr. Asstt., Sh. Ghan Shyam Sr.Asstt.",Ram Singh Thakur,21-Jun-2023 11:27 AM,finsummary_111355.pdf (895.49 KB),Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Sh. Kishan Singh DM, Sr. Balbir singh Sr. Asstt., Sh. Ghan Shyam Sr.Asstt.",Ram Singh Thakur,14-Jun-2023 10:53 AM,14-Jun-2023 11:00 AM,techsummary_111355.pdf (1405.19 KB),PWD,2023_PWD_74206_2,No.PW.RGH.Tender-2023-24-1388 dt.30.05.2023,Construction of Bongli Khech to Lana Miun road km 0/00 to 3/00 (SH Providing and laying WBM G -I in km 0/00 to 1/500) Under MNP.,30-May-2023 05:00 PM,08-Jun-2023 11:00 AM,30-May-2023 05:00 PM,08-Jun-2023 10:30 AM,NA ,NA ,30-May-2023 05:00 PM,08-Jun-2023 10:30 AM,14-Jun-2023 11:00 AM,1.0,CORRIGENDUM,Fee,,Construction of Bongli Khech to Lana Miun road km 0/00 to 3/00 (SH Providing and laying WBM G -I in km 0/00 to 1/500) Under MNP.,Construction of Bongli Khech to Lana Miun road km 0/00 to 3/00 (SH Providing and laying WBM G -I in km 0/00 to 1/500) Under MNP.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,ICICI BANK,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"26,000",No,fixed,,Nil,Nil,PWD,No.PW.RGH.Tender-2023-24-1388 dt.30.05.2023,2023_PWD_74206_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,2.0,352497.0,Ankush kumar,07-Jun-2023 09:26 PM,Accepted-AOC,L1,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,352813.0,Dharam Singh,07-Jun-2023 10:29 PM,Rejected-Finance,L3,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,352779.0,JITENDER SINGH,07-Jun-2023 07:57 PM,Rejected-Technical,Not Fulfill the qualifying the criteria,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,352807.0,Kapil Dev,08-Jun-2023 08:01 AM,Rejected-Finance,L4,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Gen",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.0,352309.0,Rajender Kumar,06-Jun-2023 11:56 AM,Rejected-Finance,L5,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.0,352310.0,Tapender Thakur,06-Jun-2023 12:19 PM,Rejected-Finance,L2,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,
