EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"44,102",No,fixed,,Nil,Nil,PWD,5861-5899 dated 2-2-2023,2023_PWD_68763_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,14-Feb-2023 10:00 AM,21-Feb-2023 10:30 AM,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,NA ,NA ,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,28-Feb-2023 11:00 AM,"Executive Engineer HPPWD., Shahpur Division","Executive Engineer HPPWD., Shahpur Division",Periodic Maintenance of Loharkar to Ruhru road under AMP District Kangra under AMP for the year 2023-24 PMGSY Road (HP0413VR044),(SH - P/L 30mm Thick Bituminous Concrete laying with Paver Finisher in KM 0/0 to 1/0 and 1/0 to 1/510,Please refer Tender documents. ,NA ,"22,05,094",Civil Works,NA ,Tender,120.0,90.0,Works,176206.0,NA ,NA ,NA ,"Executive Engineer HPPWD., Shahpur Division",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),PWD,2023_PWD_68763_3,5861-5899 dated 2-2-2023,Periodic Maintenance of Loharkar to Ruhru road under AMP District Kangra under AMP for the year 2023-24 PMGSY Road (HP0413VR044),Er. Rajeev Sharma,Internal,"Er. Vipul Punj A.E. Shahapur, Er. Vivek kalia A.E. Gaggal, Sh. Anurag Sharma Sr. Asstt.",Rajeev Kumar,27-Feb-2023 01:17 PM,28-Feb-2023 11:00 AM,techsummary_103706.pdf (736.98 KB),Executive Engineer,Internal,"Executive Engineer, AE Shahpur, AE Gaggal, Sr. Assistant shahpur",Vipul Punj,29-Feb-2024 02:41 PM,finsummary_103706.pdf (21.68 KB),29-Feb-2024,"INR 2,383,882.6",90.0,Vipul Punj,29-Feb-2024 02:46 PM,award.pdf (1440.00 KB),1.0,325676.0,Gandhrav Singh & Sons (Org),INR,"2,314,637",Finance,"Executive Engineer, Assistant Shahpur, Assistant Gaggal, Sr Assistant",Vipul Punj,29-Feb-2024 02:36 PM,finance_103706.pdf,BOQ Comparative Chart,1.0,325676.0,Gandhrav Singh & Sons (Org),20-Feb-2023 02:22 PM,Accepted-AOC,negotiated rate,29-Feb-2024,Technical,Summary,Rajeev Kumar,27-Feb-2023 01:15 PM,technical_103706.pdf
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325641.0,Yashpal,20-Feb-2023 10:23 PM,Rejected-Finance,Highest quoted rate,29-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP installed within 25 Kms from site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
