EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"20,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,23-Oct-2023 09:00 AM,31-Oct-2023 11:00 AM,23-Oct-2023 09:00 AM,30-Oct-2023 05:00 PM,NA ,NA ,23-Oct-2023 09:00 AM,30-Oct-2023 05:00 PM,03-Nov-2023 02:30 PM,PWD,Restoration of rain damages on Bhawarna Jhunga Dev,2023_PWD_80571_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages on Bhawarna Jhunga Devi road Km 15/400 to 26/150,C/O 4.00 mtr. Span RCC slab culvert at RD 16/360,Please refer Tender documents. ,NA ,"10,16,963",Civil Works - Roads,NA ,Tender,75.0,120.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,1.0,381320.0,VIJAY RANA,INR,"762,722",Finance,As per document attached,Vijay Kumar Verma,03-Nov-2023 03:19 PM,finance_119945.pdf,BOQ Comparative Chart,1.0,381508.0,Rajinder Kumar Govt.Contractor,30-Oct-2023 04:54 PM,Rejected-Finance,Due to higher bidder,28-Nov-2023,Technical,As per document attached,Vijay Kumar Verma,03-Nov-2023 01:46 PM,technical_119945.pdf,PWD,2023_PWD_80571_1,Restoration of rain damages on Bhawarna Jhunga Dev,Restoration of rain damages on Bhawarna Jhunga Devi road Km 15/400 to 26/150,Er. Vijay Kumar Verma,Internal,"Supdt., DAO, DHD",Vijay Kumar Verma,03-Nov-2023 01:51 PM,03-Nov-2023 02:30 PM,techsummary_119945.pdf (417.34 KB),Er. Vijay Kumar Verma,Internal,"Supdt., HDM and DAO",Vijay Kumar Verma,28-Nov-2023 04:07 PM,finsummary_119945.pdf (291.51 KB),09-Feb-2024,"INR 762,722",120.0,Vijay Kumar Verma,04-Mar-2024 03:53 PM,VijayJhungaDevi.pdf (682.00 KB),Shri Vijay Rana
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,2.0,381056.0,Suresh Kumar,28-Oct-2023 03:02 PM,Rejected-Finance,Due to higher bidder,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate of last five year issued by competent authority,,,,,,,,,,,,,,3.0,381591.0,SURINDER KUMAR,30-Oct-2023 03:20 PM,Rejected-AOC,The contractor is not interested to execute work and surrendered in favour of another L1,04-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and staff,,,,,,,,,,,,,,4.0,381320.0,VIJAY RANA,29-Oct-2023 03:41 PM,Accepted-AOC,L1,04-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,5.0,381324.0,VINOD KUMAR,30-Oct-2023 10:36 AM,Rejected-Finance,Due to higher bidder,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,6.0,380306.0,Virender Singh And Sons,30-Oct-2023 03:06 PM,Rejected-Finance,Due to higher bidder,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Online receipt of Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Online receipt of tender Fee and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
