EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"31,800",No,fixed,,Nil,Nil,PWD,SD-I-CTR-Tender-10948 dt 02-09-2023,2023_PWD_78446_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Widening/Restoration on Shoghi Mehli Junga Sadhupul road km. 12/375 to 48/925 (SH Construction of Retaining wall in at RD. 43/485 to 43/505,Widening/Restoration on Shoghi Mehli Junga Sadhupul road km. 12/375 to 48/925 (SH Construction of Retaining wall in at RD. 43/485 to 43/505,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,ICICI BANK,05-Sep-2023 04:00 PM,15-Sep-2023 11:00 AM,05-Sep-2023 04:00 PM,14-Sep-2023 04:00 PM,NA ,NA ,05-Sep-2023 04:00 PM,14-Sep-2023 04:00 PM,16-Sep-2023 11:20 AM,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form(as per Schedule F 6.3),500.0,Nil,Nil,No,PWD,2023_PWD_78446_2,SD-I-CTR-Tender-10948 dt 02-09-2023,Widening/Restoration on Shoghi Mehli Junga Sadhupul road km. 12/375 to 48/925 (SH Construction of Retaining wall in at RD. 43/485 to 43/505,ErParveenverm,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Bhupender Singh,16-Sep-2023 11:11 AM,16-Sep-2023 11:20 AM,techsummary_116998.pdf (720.61 KB),ErParveenverma,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Bhupender Singh,27-Sep-2023 04:30 PM,finsummary_116998.pdf (711.95 KB),23-Feb-2024,"INR 1,586,346",30.0,Ramesh Negi,23-Feb-2024 03:39 PM,AOC78446_2.pdf (714.00 KB),AOC,1.0,372042.0,Ajay Sharma,14-Sep-2023 12:46 PM,Rejected-Finance,3rd Lowest,27-Sep-2023,Technical,Bid opening summary,Bhupender Singh,16-Sep-2023 11:08 AM,technical_116998.pdf,1.0,372145.0,rahul knwar,INR,"1,159,303",Finance,Bid opening summary,Bhupender Singh,18-Sep-2023 01:35 PM,finance_116998.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371876.0,MANTU KUMAR GUPTA,13-Sep-2023 04:14 PM,Rejected-Finance,2nd Lowest,27-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,372145.0,rahul knwar,14-Sep-2023 03:49 PM,Accepted-AOC,Awarded,23-Feb-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,372011.0,Sanjeev Kumar,14-Sep-2023 02:20 PM,Rejected-Finance,4th Lowest,27-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,370782.0,Sunil Kumar Sood,14-Sep-2023 01:57 PM,Rejected-Finance,5th Lowest,27-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"email Mobile No , and Full Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
