Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Cover No,Cover,Document Type,Description
EXECUTIVEENGINEER,Internal,SUPDTDAOHDMAE,Arvind Lakhanpal,29-Jan-2024 06:25 PM,finsummary_123960.pdf (605.87 KB),23-Feb-2024,"INR 39,157,782.98",730.0,Arvind Lakhanpal,23-Feb-2024 06:32 PM,AOCSIDDI.pdf (1022.00 KB),AOC,PWD,2024_PWD_83411_1,Construction of link road from Village Siddi to Ka,Construction of link road from Village Siddi to Kakkar in Km 0/00 to 4/436,EXECUTIVEENGINEER,Internal,SupdtDAOHDM,Arvind Lakhanpal,19-Jan-2024 04:14 PM,23-Jan-2024 11:30 AM,techsummary_123960.pdf (2788.55 KB),Technical,Techbidsumary,Arvind Lakhanpal,19-Jan-2024 04:09 PM,technical_123960.pdf,1.0,396323.0,ARVIND BUILDERS AND CONTRACTORS,07-Jan-2024 07:09 PM,Rejected-Finance,Non-Responsive,29-Jan-2024,1.0,396501.0,Himachal Techno Engineers,INR,"39,157,782.98",Finance,Fbidsummary,Arvind Lakhanpal,29-Jan-2024 06:14 PM,,BOQ Comparative Chart,"11,08,520",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,Executive Engineer,HPPWD Division Tauni Devi Distt Hamirpur H.P.,03-Jan-2024 10:30 AM,08-Jan-2024 11:30 AM,03-Jan-2024 10:30 AM,08-Jan-2024 10:30 AM,NA ,NA ,03-Jan-2024 10:30 AM,08-Jan-2024 10:30 AM,23-Jan-2024 11:30 AM,Construction of link road from Village Siddi to Kakkar in Km 0/00 to 4/436,"Construction of formation cutting, retaining walls breast walls, metalling tarring, catch water drain, bituminous works, cross drainage structures, parapets, dumping site, stone sign boards in RD 0/00 to 4/436)(RIDF-XXIX) (Under NABARD) (i/c 5 years",Please refer Tender documents. ,NA ,"5,54,26,005",Civil Works - Roads,NA ,Tender,75.0,730.0,Tauni Devi,177023.0,NA ,NA ,NA ,Tauni Devi,No ,No,PWD,Construction of link road from Village Siddi to Ka,2024_PWD_83411_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of document of online payment on account of Bid documents as per section 1(2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,396213.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,07-Jan-2024 11:04 PM,Rejected-AOC,L3,23-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration Certificate Legal Status as per ITB Section 2 4.2 (a)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,396461.0,DEEPAK JOSHI,06-Jan-2024 06:21 PM,Rejected-Finance,Non-Responsive,29-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of document of online payment on account of Bid security as per section 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,396501.0,Himachal Techno Engineers,07-Jan-2024 01:46 PM,Accepted-AOC,L1,23-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid registration under Labour licence EPF miscellaneous Provision Act 1952 ITB sec. 2 (4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,396537.0,MSC Roads and Bridges Private Limited,07-Jan-2024 06:42 PM,Rejected-Finance,Non-Responsive,29-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,396046.0,PARDEEP KUMAR GOVT. CONTRACTOR,06-Jan-2024 04:16 PM,Rejected-AOC,L2,23-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) and Psrt-II as proforma given in Section 6 of SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB
