Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
23-Jan-2024 05:00 PM,02-Feb-2024 11:00 AM,23-Jan-2024 05:00 PM,01-Feb-2024 10:30 AM,NA ,NA ,23-Jan-2024 05:00 PM,01-Feb-2024 10:30 AM,05-Feb-2024 12:50 PM,1.0,Date corigendum-1,Date,,"15,901",No,fixed,,Nil,Nil,Tender for providing LT Extension from existing various Sub Stations in Electrical Section Bithri under ESD HPSEBL Pangna.,Tender for providing LT Extension from existing various Sub Stations in Electrical Section Bithri under ESD HPSEBL Pangna.,Please refer tender document  ,NA ,"6,36,054",Supply and Erection,Electricak Work ,Tender,180.0,60.0,Pangna,175046.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"Office of Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2023-24-6883-89 Dated 17-01-2024,2024_HPSEB_84413_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,ICICI BANK,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,05-Feb-2024 12:44 PM,technical_125367.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,07-Feb-2024 01:38 PM,finance_125367.pdf,BOQ Comparative Chart,07-Feb-2024,"INR 636,054",60.0,Sushil Kumar,07-Feb-2024 04:37 PM,award85LTBithri.pdf (1989.00 KB),Awarded to M/S Vishal Electrical (L-1) which found lowest,1.0,400917.0,JAGDISH KUMAR,29-Jan-2024 09:38 AM,Rejected-Finance,L2,07-Feb-2024,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,05-Feb-2024 12:49 PM,05-Feb-2024 12:50 PM,techsummary_125367.pdf (381.03 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,L-1 is found lowest and other two bidders are put higher rate as compare to L-1,Sushil Kumar,07-Feb-2024 01:46 PM,finsummary_125367.pdf (432.82 KB),1.0,400797.0,VISHAL ELECTRICAL GOVT CONT,INR,"570,844.14",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2024_HPSEB_84413_1,184619/DB/2023-24-6883-89 Dated 17-01-2024,Tender for providing LT Extension from existing various Sub Stations in Electrical Section Bithri under ESD HPSEBL Pangna.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,401737.0,SUNEEL THAKUR ELECTRICAL,31-Jan-2024 10:58 PM,Rejected-Finance,L3,07-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,3.0,400797.0,VISHAL ELECTRICAL GOVT CONT,27-Jan-2024 10:14 PM,Accepted-AOC,Awarded to M/S Vishal Electrical (L-1) which found lowest,07-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
