S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name
1.0,355420.0,HARDEV SINGH,INR,"3,022,457",Finance,2nos of bids received,Virender Rajta,03-Jul-2023 10:36 AM,finance_112206.pdf,BOQ Comparative Chart,Technical,2 Nos of bids received,Virender Rajta,30-Jun-2023 02:48 PM,,1.0,355420.0,HARDEV SINGH,19-Jun-2023 05:24 PM,Accepted-AOC,ok,14-Feb-2024,Executive Engineer,Internal,,Virender Rajta,03-Jul-2023 10:43 AM,finsummary_112206.pdf (425.52 KB),09-Feb-2024,"INR 3,022,457",90.0,Tarsem Singh,09-Feb-2024 10:32 PM,rathal.pdf (1124.00 KB),PWD,2023_PWD_74898_2,JD/E Tender/2023-24-1869-71 dt.05-06-2023,Construction of Govt. SR. Secondary School Building at Rathal Tehsil Jubbal District Shimla H.P SH Completion of Balance work of building,Executive Engineer,Internal,,Tarsem Singh,03-Jul-2023 10:22 AM,03-Jul-2023 10:30 AM,techsummary_112206.pdf (272.71 KB),13-Jun-2023 11:45 AM,20-Jun-2023 11:00 AM,13-Jun-2023 11:50 AM,19-Jun-2023 06:00 PM,NA ,NA ,13-Jun-2023 11:55 AM,19-Jun-2023 06:00 PM,03-Jul-2023 10:30 AM,PWD,JD/E Tender/2023-24-1869-71 dt.05-06-2023,2023_PWD_74898_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest money,"70,300",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER JUBBAL,HP.PWD JUBBAL,Construction of Govt. SR. Secondary School Building at Rathal Tehsil Jubbal District Shimla H.P SH Completion of Balance work of building,Construction of Govt. SR. Secondary School Building at Rathal Tehsil Jubbal District Shimla H.P SH Completion of Balance work of building,Please refer Tender documents. ,NA ,"35,14,485",Civil Works - Buildings,NA ,Tender,60.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,350.0,Nil,Nil,Yes,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,355097.0,Sunny hardware,17-Jun-2023 06:59 PM,Rejected-Finance,ok,03-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affadavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5 Years turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff and machineries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affadavit regarding True and correct, Blood relation employe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
