Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-53/2023-2011dt20.12.2023,2023_HPCDP_82923_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"58,000",No,fixed,,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI","C/o Lift Irrigation Scheme Ludhiana at Village Ludhiana, G.P. Pehad, Tehsil Dharampur, District Mandi (H.P.)","C/o Lift Irrigation Scheme Ludhiana at Village Ludhiana, G.P. Pehad, Tehsil Dharampur, District Mandi (H.P.)",Please refer Tender documents. ,NA ,"33,56,700",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,365.0,"Village Ludhiana, G.P. Pehad, Tehsil Dharampur, D",175040.0,"O/o District Project Manager, HPCDP (Phase-II), JI ","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",26-Dec-2023 11:00 AM ,"O/o District Project Manager, HPCDP (Phase-II), JI",No ,No,"1,500","O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI",No,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,1.0,DD - Demand Draft,20-Dec-2023 05:00 PM,04-Jan-2024 11:00 AM,20-Dec-2023 05:00 PM,03-Jan-2024 05:00 PM,NA ,NA ,20-Dec-2023 05:00 PM,03-Jan-2024 05:00 PM,23-Jan-2024 12:50 PM,Technical,Technical Evaluation,Sonal Gupta,17-Jan-2024 01:16 PM,technical_123300.pdf,Finance,Finnacial Statement,Sonal Gupta,21-Feb-2024 10:58 AM,finance_123300.pdf,BOQ Comparative Chart,21-Feb-2024,"INR 3,874,654",365.0,Sonal Gupta,21-Feb-2024 02:59 PM,LISLudhiana.pdf (2728.00 KB),Letter Of Acceptance,1.0,395859.0,Ajay Kumar,03-Jan-2024 04:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Jan-2024,Balbir Singh Thakur,Internal,Pawan Kumar Sonal Gupta O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,23-Jan-2024 12:47 PM,23-Jan-2024 12:50 PM,techsummary_123300.pdf (887.56 KB),Balbir Thakue,Internal,Pawan Kumar Sonal Gupta Pankaj Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,21-Feb-2024 11:01 AM,finsummary_123300.pdf (287.99 KB),Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_82923_1,F(5)-53/2023-2011dt20.12.2023,"C/o Lift Irrigation Scheme Ludhiana at Village Ludhiana, G.P. Pehad, Tehsil Dharampur, District Mandi (H.P.)",1.0,395781.0,V S CONTRACTORS AND ENGINEERS,INR,"3,854,674"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,395805.0,Kuldeep Sood Govt. Contr.,03-Jan-2024 01:43 PM,Rejected-Finance,highest,21-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,395660.0,NISHANT KUMAR,03-Jan-2024 01:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 3 years in the last 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,395781.0,V S CONTRACTORS AND ENGINEERS,03-Jan-2024 11:54 AM,Accepted-AOC,Awareded,21-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
