Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
01-Dec-2023 11:00 AM,12-Dec-2023 11:00 AM,01-Dec-2023 11:00 AM,11-Dec-2023 05:00 PM,NA ,NA ,01-Dec-2023 11:00 AM,11-Dec-2023 05:00 PM,02-Jan-2024 11:00 AM,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,SRMO road and berm (metalling and tarring) Ind. Area Shamshi Distt. Kullu (HP).,(metalling and tarring),Please refer Tender documents. ,NA ,"59,67,182",Civil Works - Roads,NA ,Tender,120.0,90.0,Shamshi Kullu,175126.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,HP SIDC Limited,Job No. 1,2023_SIDC_82009_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,19,000",No,fixed,,Nil,Nil,"5,900",Nil,Nil,No,Finance,Financial summary,Sushant Singh Negi,11-Jan-2024 02:51 PM,finance_121954.pdf,BOQ Comparative Chart,Technical,Tender Summary,Sushant Singh Negi,01-Jan-2024 02:57 PM,technical_121954.pdf,SE,Internal,"DM, Manager(F),EE(HQ)",Sushant Singh Negi,01-Jan-2024 02:59 PM,02-Jan-2024 11:00 AM,techsummary_121954.pdf (723.61 KB),1.0,389414.0,Biri SIngh,11-Dec-2023 04:01 PM,Rejected-Technical,work done certificate not submitted as per tender conditions,01-Jan-2024,19-Feb-2024,"INR 6,518,634",90.0,Sushant Singh Negi,27-Feb-2024 02:32 PM,shankardass.pdf (1778.00 KB),Award letter,1.0,389231.0,SHANKAR DASS,INR,"6,518,634",SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,11-Jan-2024 02:58 PM,finsummary_121954.pdf (979.21 KB),HP SIDC Limited,2023_SIDC_82009_1,Job No. 1,SRMO road and berm (metalling and tarring) Ind. Area Shamshi Distt. Kullu (HP).
,,,,,,,,,,,,,.pdf,Signed copy of agreement form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,389356.0,GORSI CONSTRUCTION PVT LTD,11-Dec-2023 03:56 PM,Rejected-Finance,3rd lowest bidder,11-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,389388.0,Kamlesh Kumar Negi,11-Dec-2023 04:08 PM,Rejected-Finance,4th lowest bidder,11-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,388525.0,RANDHIR JAMWAL,08-Dec-2023 11:56 AM,Rejected-Finance,2nd lowest bidder,11-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,389231.0,SHANKAR DASS,11-Dec-2023 03:50 PM,Accepted-AOC,AOC,27-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,complete details of existing commitments / ongoing work in hand in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
