S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1.1,Instrument Type
1,292499,AGD Biomedicals Pvt ltd,26-Jul-2022 03:35 PM,Rejected-Technical,Not Qualified,04-Jan-2023,MD,Internal,,Vijay Thakur,04-Jan-2023 02:48 PM,05-Jan-2023 11:00 AM,techsummary_92921.pdf (964.36 KB),Technical,Technical Bid Opening Summary,Vijay Thakur,27-Jul-2022 03:14 PM,technical_92921.pdf,Finance,Financial Bid Opening Summary,Vijay Thakur,09-Jan-2023 04:55 PM,finance_92921.pdf,BOQ Comparative Chart,09-Feb-2024,"INR 8,683,349.48",730.0,Vijay Thakur,09-Feb-2024 01:37 PM,RC-Equipment-Combined.pdf (32396.00 KB),1.0,289753.0,PLASTI SURGE INDUSTRIES PVT LTD,INR,329.49,Wool Fedration,2022_HPWF0_61582_1,HPWF/32/VE/SML/2022,Supply of Veterinary Equipment,Vijay Thakur,Internal,,Vijay Thakur,08-Feb-2024 04:14 PM,finsummary_92921.pdf (129.60 KB),Wool Fedration,HPWF/32/VE/SML/2022,2022_HPWF0_61582_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,Supply of Veterinary Equipment,Supply of Veterinary Equipment on F.O.R. basis anywhere in H.P. including Tribal areas,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Rate Contract,730.0,730.0,Shimla,171009.0,NA ,NA ,NA ,Shimla,No ,No,1.0,Extension Date,Date,,"2,00,000",No,fixed,,Managing Director,Shimla,"5,900",Managing Director,Shimla,No,Managing Director,"HE H.P. STATE COOPERATIVE WOOL PROCUREMENT AND MARKETING FEDERATION LTD., BLOCK NO. 23, S.D.A. COMPLEX, KASUMPTI, SHIMLA-171009",10-Jun-2022 03:00 PM,27-Jul-2022 12:00 PM,11-Jun-2022 01:00 PM,26-Jul-2022 05:00 PM,NA ,NA ,11-Jun-2022 01:00 PM,26-Jul-2022 05:00 PM,05-Jan-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all the documents as mentioned in the Tender Document,1.0,DD - Demand Draft
2,292830,Allengers Medical Systems Ltd.,26-Jul-2022 04:39 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290161.0,IMV India Private Limited,INR,"1,844,495.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Change in EMD,Fee,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid (BOQ),,
3,292301,American Meditek Systems Pvt Ltd,26-Jul-2022 12:45 PM,Rejected-Finance,Disqualified due to No Demonstration,08-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,3.0,292386.0,PHARMACRAFTS(I),INR,"335,507.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum Regarding Pack Size,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,292522,Bash Chemo Agencies,26-Jul-2022 03:24 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,4.0,292522.0,Bash Chemo Agencies,INR,"666,764.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,292898,Chamunda Scientific and Medical Co,26-Jul-2022 03:03 PM,Rejected-Technical,Not Qualified,04-Jan-2023,,,,,,,,,,,,,,,,,,,,,,,,,5.0,292618.0,shakti agency,INR,"1,300.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,292828,ENBEE Enterprises,25-Jul-2022 06:27 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,6.0,292822.0,HINDUSTAN REMEDIES,INR,"679,336.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,292311,Gargo Agrotech,25-Jul-2022 04:45 PM,Rejected-Technical,Not Qualified,04-Jan-2023,,,,,,,,,,,,,,,,,,,,,,,,,7.0,292828.0,ENBEE Enterprises,INR,"420,923.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,292822,HINDUSTAN REMEDIES,25-Jul-2022 06:35 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,8.0,292830.0,Allengers Medical Systems Ltd.,INR,"739,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,290161,IMV India Private Limited,26-Jul-2022 04:22 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,9.0,292956.0,National Meditek,INR,"794,909.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,293022,Konica Minolta Healthcare India Pvt Ltd,26-Jul-2022 04:38 PM,Accepted-AOC,RC Awarded,14-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,10.0,292957.0,NORANG CHEMIST,INR,"3,454.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
