S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,Operation and maintenance of LWSS to Kunthal Pashog in GP Kuru Lawana in Tehsil Rajgarh Distt. Sirmour Tehsil Rajgarh Distt. Sirmour,"SH Running, operation, maintenance of scheme including distribution system 1st 2nd stage rising main for one year",Please refer Tender documents. ,NA ,"11,21,500",Repair and Maintenance Works,labour ,Tender,120.0,365.0,Rajgarh,173101.0,NA ,NA ,NA ,Rajgarh,No ,No,Executive Engineer,Jal Shakti Division Rajgarh,24-Aug-2023 06:30 PM,31-Aug-2023 11:30 AM,24-Aug-2023 06:30 PM,31-Aug-2023 11:00 AM,NA ,NA ,24-Aug-2023 06:30 PM,31-Aug-2023 11:00 AM,22-Sep-2023 11:00 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2353-2452 dated 16-08-2023,2023_HPIPH_77939_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,EE Rajgarh,Rajgarh,No,"22,430",Yes,fixed,,EE Rajgarh,Rajgarh,1.0,Fee/PreQual/Technical,.pdf,latest copy of Enlistment,Technical,BID,Mandeep Gupta,22-Sep-2023 07:30 AM,technical_116359.pdf,Finance,Proceeding,Mandeep Gupta,23-Dec-2023 05:15 PM,finance_116359.pdf,BOQ Comparative Chart,02-Feb-2024,"INR 1,121,500",365.0,Mandeep Gupta,02-Feb-2024 12:32 PM,AOC.pdf (664.00 KB),Work Awwarded,1.0,369206.0,PREM SINGH,30-Aug-2023 06:04 PM,Accepted-AOC,Work Awarded,03-Feb-2024,Executive Enginner,Internal,DA Suptd HDM,Mandeep Gupta,22-Sep-2023 07:45 AM,22-Sep-2023 11:00 AM,techsummary_116359.pdf (572.02 KB),EE,Internal,Suptd DA HDM,Mandeep Gupta,02-Jan-2024 07:05 PM,finsummary_116359.pdf (546.93 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_77939_9,2353-2452 dated 16-08-2023,Operation and maintenance of LWSS to Kunthal Pashog in GP Kuru Lawana in Tehsil Rajgarh Distt. Sirmour Tehsil Rajgarh Distt. Sirmour,1.0,369206.0,PREM SINGH,INR,"1,121,000"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as per NIT,,,,,,,,,,,,,,,,,,,2.0,369242.0,SHAMSHER PARKASH,31-Aug-2023 07:26 AM,Rejected-Finance,reject,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per NIT,,,,,,,,,,,,,,,,,,,3.0,369171.0,vinod kumar,30-Aug-2023 03:34 PM,Rejected-Finance,reject,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit that the firm has not been blacklisted by the Govt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor having expe. minimum Three year to running the scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the contractor must have a valid copy of authorization from where he will get pumping machinery repa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
