Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Providing irrigation facility to various village of Renuka ji Constituency under IPH Sub Division Sangarh by constructing rain water harvesting structure water bodies,SH CO RCC Dam at village Lana Mashoor Barbed wire fencing wire crate work Head wire providing JE Qtr for section Sangarh Providing laying jointing of MSERW scour pipe and Laying jointing of GMS pipe line in distribution system for vill Lana mashoor,Please refer Tender documents. ,NA ,"2,45,09,328",Civil Works,NA ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,26-Dec-2023 05:00 PM,10-Jan-2024 12:30 PM,27-Dec-2023 10:00 AM,10-Jan-2024 11:30 AM,NA ,NA ,27-Dec-2023 11:00 AM,10-Jan-2024 11:30 AM,20-Jan-2024 03:20 PM,"2,500",Executive Executive Jal Shakti Division Nohradhar,Nohradhar,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,bid security duly pledged in favor of EE JSD Nohradhar Shall be submitted as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",10364-10463 Dt.26-12-2023,2023_HPIPH_83189_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,78,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nohradhar,Nohradhar,Executive Engineer Jal Shakti Division Nohradhar,Executive Engineer Jal Shakti Division Nohradhar,1.0,396648.0,akash,10-Jan-2024 11:01 AM,Rejected-Finance,Reject,20-Feb-2024,Er.Munish Sharma,Internal,TA HDM Supdtt. DAO,Munish Sharma,20-Jan-2024 03:15 PM,20-Jan-2024 03:20 PM,techsummary_123706.pdf (601.64 KB),28-Feb-2024,"INR 24,509,328",120.0,Munish Sharma,02-Mar-2024 12:47 PM,Award4.pdf (704.00 KB),AOC,Technical,Technical Bid opening summary,Munish Sharma,20-Jan-2024 03:06 PM,technical_123706.pdf,Finance,Financial Bid Summary,Munish Sharma,20-Jan-2024 04:40 PM,finance_123706.pdf,BOQ Comparative Chart,SE Er. Rajeev Mahajan,Internal,Supdtt. W/S JE D AE D EE Nohradhar EE D,Munish Sharma,20-Feb-2024 11:12 AM,finsummary_123706.pdf (3415.91 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2023_HPIPH_83189_1,10364-10463 Dt.26-12-2023,Providing irrigation facility to various village of Renuka ji Constituency under IPH Sub Division Sangarh by constructing rain water harvesting structure water bodies,1.0,396658.0,SANDEEP RATHAUR,INR,"17,658,825"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The cost ofbid form as shown above shall submitted online as online payment gateway on mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,2.0,396772.0,DEEP CHAND SHARMA,10-Jan-2024 11:16 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration with Jal Shakti Vibhag in appropriate class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,3.0,396820.0,KULDEEP SHARMA,09-Jan-2024 04:55 PM,Rejected-Finance,Reject,20-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of certificate of EPF registration, PAN Card and GST registration as mentioned in NIT",,,,,,,,,,,,,,,,,,,,,,,4.0,396937.0,RAM KISHAN CHANDEL,10-Jan-2024 10:32 AM,Rejected-Finance,Reject,20-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding Joint venture is not allowed mentioning name of work with date mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,5.0,396665.0,Roshan Chauhan,10-Jan-2024 10:48 AM,Rejected-Finance,Reject,20-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,scanned copy of undertaking that I have carefully studied all the Term Conditions as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,6.0,396658.0,SANDEEP RATHAUR,08-Jan-2024 03:15 PM,Accepted-AOC,Award to contractor,02-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bid for job shall only accepted if the contractor successfully completed works mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit mentioning name the work with date specifying that benefit availed under as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking mentioning name of work with date that he will comply with provision as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
