S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,ICICI BANK,590.0,Nil,Nil,No,HPSEBL||CE(ES) Hamirpur||SE(ES) Shimla||Sr. Xen (ES) 220 KV Kunihar,KESD-10,2023_HPSEB_83237_1,Yes,Limited,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing andLaying One Layer of PCC 1_4_8,Providing and Laying One Layer of PCC 1_4_8 One Layer of gravel of ( 25 above and 40mm below) size in 132 KV Bay Bank 1 and switchyard at 220/132KV Sub-Station Kunihar.,Please refer Tender documents. ,NA ,"6,03,500",Civil Works - Others,NA ,Tender,180.0,60.0,220 KV ES Division ES Circle HPSEB Kunihar,173207.0,NA ,NA ,NA ,220 KV ES Division ES Circle HPSEB Kunihar,No ,No,27-Dec-2023 03:45 PM,08-Jan-2024 12:30 PM,27-Dec-2023 04:00 PM,06-Jan-2024 04:00 PM,NA ,NA ,27-Dec-2023 04:05 PM,06-Jan-2024 04:00 PM,08-Jan-2024 12:55 PM,Sr. EXEN,O/O Sr. EXEN 220 KV ES Division ES Circle HPSEB Kunihar,1.0,Fee/PreQual/Technical,.pdf,Tender Fees and Earnest Money,"6,050",No,fixed,,Nil,Nil,Sr. Exen,Internal,SDO Supt GR_II JOA ACCOUNTS JDM,Sandeep Kumar,16-Feb-2024 12:50 PM,finsummary_123754.pdf (126.07 KB),HPSEBL||CE(ES) Hamirpur||SE(ES) Shimla||Sr. Xen (ES) 220 KV Kunihar,2023_HPSEB_83237_1,KESD-10,Providing andLaying One Layer of PCC 1_4_8,1.0,396177.0,Avtar Singh,INR,"602,207",Finance,Tender financially opened on 8 January 2024 at 1.00PM,Sandeep Kumar,08-Jan-2024 01:10 PM,,BOQ Comparative Chart,Technical,Committee opened the Tender on 8 Jan 2023 at 12.45pm,Sandeep Kumar,08-Jan-2024 12:49 PM,technical_123754.pdf,16-Feb-2024,"INR 602,207",45.0,Sandeep Kumar,16-Feb-2024 12:55 PM,AwardKESD2680_83.pdf (2002.00 KB),Awarded Amount after Negotiation,Er Sandeep Kumar,Internal,"SDO Sub Station, Supt. GR-II, JOA, JDM",Sandeep Kumar,08-Jan-2024 12:53 PM,08-Jan-2024 12:55 PM,techsummary_123754.pdf (124.27 KB),1.0,395406.0,Amardeep Singh,31-Dec-2023 10:54 AM,Rejected-Finance,L2 Bidder,16-Feb-2024
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder profile (Annexure-I) filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,396177.0,Avtar Singh,05-Jan-2024 12:37 PM,Accepted-AOC,Lowest Bidder,16-Feb-2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration on no-near relative (Annexure-II) filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,396189.0,Jagtar Singh,05-Jan-2024 01:20 PM,Rejected-Finance,L3 Bidder,16-Feb-2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration on Black listing/non-black listing filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of authorization for attending tender opening (Annexure-IV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Self-Attested copy of Firm/company registration document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Self-Attested copy of PAN and GST of firm/company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Self-Attested copy of Experience certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Turn Over Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
