Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,PW-NBT/CB/Tender/2023/1525-27 dated 27.05.2023,2023_PWD_74074_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"61,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,31-May-2023 10:00 AM,05-Jun-2023 11:00 AM,31-May-2023 10:00 AM,05-Jun-2023 10:30 AM,NA ,NA ,31-May-2023 10:00 AM,05-Jun-2023 10:30 AM,05-Jun-2023 03:50 PM,Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 13/0 to 15/0 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034,Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 13/0 to 15/0 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034,Refer in SBD ,NA ,"35,03,200",Civil Works,NA ,Tender,45.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money refer in Schedule F,EE Bilaspur Division No. 2 HPPWD Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,1.0,ICICI BANK,PWD,2023_PWD_74074_3,PW-NBT/CB/Tender/2023/1525-27 dated 27.05.2023,Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 13/0 to 15/0 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034,Executive Engineer,Internal,EAI SUPDT HDM,Rohit Gupta,05-Jun-2023 03:48 PM,05-Jun-2023 03:50 PM,techsummary_111177.pdf (1562.25 KB),Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,05-Jun-2023 05:17 PM,finsummary_111177.pdf (598.03 KB),05-Feb-2024,"INR 3,503,200",90.0,Gurminder Singh,05-Feb-2024 04:54 PM,AOC0003.PDF (272.00 KB),Award letter,1.0,351645.0,Ajmer Singh,03-Jun-2023 07:56 PM,Accepted-AOC,Due to L1,07-Feb-2024,Technical,Technical Bid Open Summary,Rohit Gupta,05-Jun-2023 03:43 PM,technical_111177.pdf,1.0,351645.0,Ajmer Singh,INR,"3,341,702",Finance,Financial Bid open Summary,Gurminder Singh,05-Jun-2023 05:15 PM,finance_111177.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration refer General rule No 23,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351651.0,RAJESH KUMAR,03-Jun-2023 08:00 PM,Rejected-Finance,Due to L2,05-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF refer General rule No 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over during last five years duly signed by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of No relation Employee in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
