Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,summary uploaded,Akhil Chauhan,28-Nov-2023 02:46 PM,technical_120163.pdf,1.0,382325.0,SANDEEP DOGRA GOVT. CONTRACTOR,03-Nov-2023 06:28 PM,Accepted-AOC,lowest bidder to awarded the work,26-Feb-2024,Finance,summary uploaded,Vinod Shyam,01-Dec-2023 01:38 PM,finance_120163.pdf,BOQ Comparative Chart,1.0,382325.0,SANDEEP DOGRA GOVT. CONTRACTOR,INR,"1,122,772",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Vinod Shyam,01-Dec-2023 01:41 PM,finsummary_120163.pdf (185.85 KB),26-Feb-2024,"INR 1,070,395",45.0,Vinod Shyam,26-Feb-2024 11:47 AM,878.pdf (699.00 KB),PWD,2023_PWD_80699_9,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,"R/R Damages on Kalbog to Chuila Road in K.M. 0/00 to 6/500, C/o, R/Wall at R.D. 0/960 to 0/967, 1/480 to 1/495, 1/705 to 1/715, 3/870 to 3/878",Executive Engineer,Internal,"XEN, AE, Supdt. Gr-II, HDM and Contr.",Akhil Chauhan,28-Nov-2023 02:47 PM,28-Nov-2023 02:50 PM,techsummary_120163.pdf (6393.74 KB),1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"22,000",No,fixed,,Nil,Nil,"R/R Damages on Kalbog to Chuila Road in K.M. 0/00 to 6/500, C/o, R/Wall at R.D. 0/960 to 0/967, 1/480 to 1/495, 1/705 to 1/715, 3/870 to 3/878","R/R Damages on Kalbog to Chuila Road in K.M. 0/00 to 6/500, C/o, R/Wall at R.D. 0/960 to 0/967, 1/480 to 1/495, 1/705 to 1/715, 3/870 to 3/878",Please refer Tender documents. ,NA ,"10,90,225",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,2023_PWD_80699_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD DIVISION KOTKHAI,27-Oct-2023 11:00 AM,06-Nov-2023 11:00 AM,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,NA ,NA ,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,28-Nov-2023 02:50 PM
,,,,,2.0,382368.0,SURENDER MOHAN,04-Nov-2023 09:07 AM,Rejected-Finance,L2 BIDDER,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
