Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
SE,Internal,CHD Supdt AE (D) EE Indora EE (D),Ravinder Kumar,05-Jan-2024 12:54 PM,05-Jan-2024 01:00 PM,techsummary_123197.pdf (817.85 KB),1.0,393010.0,ABTAR SINGH AND COMPANY,27-Dec-2023 06:21 PM,Rejected-Finance,Highest (Rejected),02-Feb-2024,02-Feb-2024,"INR 19,259,180",180.0,Ravinder Kumar,02-Feb-2024 02:45 PM,AOC.pdf (491.00 KB),lowest one,Finance,summary,Ravinder Kumar,05-Jan-2024 01:11 PM,finance_123197.pdf,BOQ Comparative Chart,Technical,proceeding,Ravinder Kumar,05-Jan-2024 12:51 PM,technical_123197.pdf,1.0,393155.0,popular pipes,INR,"19,259,180","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",2023_HPIPH_82828_1,EE-JSV-7959-7999 dated 18-12-2023,"Remodeling of old Tube well in Indora Constituency in Tehsil Indora Distt. Kangra Himachal Pradesh TW Dah, TW Kathgarh, TW Lodhwan I II, TW No. 10 Kubbar TW 19 Indpur Tanda TW 21",SE,Internal,EE (D) EE indora CHD Supdt,Ravinder Kumar,02-Feb-2024 02:41 PM,finsummary_123197.pdf (24.03 KB),"2,58,665",Yes,fixed,,Nil,Nil,18-Dec-2023 05:00 PM,28-Dec-2023 11:30 AM,18-Dec-2023 05:30 PM,28-Dec-2023 11:00 AM,NA ,NA ,18-Dec-2023 05:30 PM,28-Dec-2023 11:00 AM,05-Jan-2024 01:00 PM,EXECUTIVE ENGINEER,JSV Division Indora,1.0,ICICI BANK,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",EE-JSV-7959-7999 dated 18-12-2023,2023_HPIPH_82828_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit that bidder is not a blacklisted contractor,"2,500",Nil,Nil,Yes,"Remodeling of old Tube well in Indora Constituency in Tehsil Indora Distt. Kangra Himachal Pradesh TW Dah, TW Kathgarh, TW Lodhwan I II, TW No. 10 Kubbar TW 19 Indpur Tanda TW 21","Drilling, Lowering and Development of 11 No. Tube wells 140 mtr deep at Tubewell Kathgarh, Tubewell No. 10 Khubbar, Tube well No. 19 Indpur Tanda,Tubewell No. 21 Chuharpur, Tubewell No. 23",Please refer Tender documents. ,NA ,"2,26,16,350",Civil Works,NA ,Tender,120.0,NA ,INDORA,176401.0,NA ,NA ,NA ,EE JSV Divsion Indora,No ,No
,,,,,,,2.0,393136.0,H.N.SINGH AND COMPANY,27-Dec-2023 06:12 PM,Rejected-Finance,Highest (Rejected),02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Scanned copy of online tender cost and cost of earnest money,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.0,394638.0,M/S. Mast Ram Jaswal And Co.,28-Dec-2023 10:23 AM,Rejected-Finance,Highest (Rejected),02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of registration in IPH Deptt. in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4.0,394634.0,M/S Sharma Enterpirses,28-Dec-2023 10:16 AM,Rejected-Finance,Highest (Rejected),02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,latest Income tax Clearance certificate and Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.0,393155.0,popular pipes,27-Dec-2023 06:30 PM,Accepted-AOC,lowest one,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"copy of PAN No,GST No. registration alongwith latest clearance certificate thereof and EPF No",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6.0,394580.0,PRAGATI TOWERS CORPORATION,27-Dec-2023 08:34 PM,Rejected-Finance,Highest (Rejected),02-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with the ground water authority shimla,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must produce registration certificate of Rotry Rig in name of party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate/similar nature of work,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking in that I have carefully studied all the terms and conditions,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,
