Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
PWD,Nagrota 25-07,2023_PWD_76713_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Construction of Bandi Matiyrai Galu Kashrehra Mumta road km 0/000 to 3/800 in Distt Kangra (HP) (SH-Balance work providing and laying metaling and Tarring in Km 2/270 to 2/909),Construction of Bandi Matiyrai Galu Kashrehra Mumta road km 0/000 to 3/800 in Distt Kangra (HP) (SH-Balance work providing and laying metaling and Tarring in Km 2/270 to 2/909),Please refer Tender documents. ,NA ,"12,60,736",Civil Works - Roads,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"25,250",No,fixed,,Nil,Nil,25-Jul-2023 01:00 PM,04-Aug-2023 11:00 AM,25-Jul-2023 01:00 PM,04-Aug-2023 10:00 AM,NA ,NA ,25-Jul-2023 01:00 PM,04-Aug-2023 10:00 AM,09-Aug-2023 11:40 AM,PWD,2023_PWD_76713_2,Nagrota 25-07,Construction of Bandi Matiyrai Galu Kashrehra Mumta road km 0/000 to 3/800 in Distt Kangra (HP) (SH-Balance work providing and laying metaling and Tarring in Km 2/270 to 2/909),Executive Engineer,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,09-Aug-2023 11:35 AM,09-Aug-2023 11:40 AM,techsummary_114684.pdf (843.19 KB),Executive Engineer,Internal,AE Supdt HDM DAO,Ankit Kumar,09-Aug-2023 11:54 AM,finsummary_114684.pdf (198.55 KB),21-Feb-2024,"INR 2,564,850",60.0,Suresh Kumar Walia,02-Mar-2024 01:34 PM,Award.pdf (320.00 KB),aWARD,1.0,363743.0,Chamunda Construction Works,02-Aug-2023 03:12 PM,Rejected-Finance,Lowest 2,09-Aug-2023,Technical,SUM,Suresh Kumar Walia,09-Aug-2023 11:34 AM,technical_114684.pdf,Finance,sum,Ankit Kumar,09-Aug-2023 11:51 AM,finance_114684.pdf,BOQ Comparative Chart,1.0,363723.0,Ujjawal Singh,INR,"2,487,605"
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,363723.0,Ujjawal Singh,02-Aug-2023 11:40 AM,Accepted-AOC,Lowest 1,02-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
