S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,PWD,PW-NBT/CB/Tender/2023/1525-27 dated 27.05.2023,2023_PWD_74074_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE Bilaspur Division No. 2 HPPWD Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money refer in Schedule F,"2,000",Nil,Nil,No,Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 20/0 to 23/700 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034),Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 20/0 to 23/700 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034),Refer in SBD ,NA ,"67,23,936",Civil Works,NA ,Tender,45.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,31-May-2023 10:00 AM,05-Jun-2023 11:00 AM,31-May-2023 10:00 AM,05-Jun-2023 10:30 AM,NA ,NA ,31-May-2023 10:00 AM,05-Jun-2023 10:30 AM,05-Jun-2023 03:50 PM,"1,00,000",No,fixed,,Nil,Nil,PWD,2023_PWD_74074_2,PW-NBT/CB/Tender/2023/1525-27 dated 27.05.2023,Annual Maintenance Plan for year 2023-2024 (Major District Roads) on Nagaon Beri road Km. 20/0 to 23/700 (SH- Providing and lying 30mm thick bituminous concrete) (MDR -0034),Executive Engineer,Internal,EAI SUPDT HDM,Rohit Gupta,05-Jun-2023 03:45 PM,05-Jun-2023 03:50 PM,techsummary_111176.pdf (1649.03 KB),Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,05-Jun-2023 05:18 PM,finsummary_111176.pdf (559.09 KB),05-Feb-2024,"INR 6,723,936",90.0,Gurminder Singh,05-Feb-2024 04:50 PM,AOC0002.PDF (276.00 KB),Award letter,1.0,351710.0,Ajmer Singh,03-Jun-2023 07:55 PM,Accepted-AOC,Due to L1,07-Feb-2024,Technical,Technical Bid Open Summary,Rohit Gupta,05-Jun-2023 03:44 PM,technical_111176.pdf,Finance,Financial Bid open Summary,Gurminder Singh,05-Jun-2023 05:14 PM,finance_111176.pdf,BOQ Comparative Chart,1.0,351710.0,Ajmer Singh,INR,"6,417,997"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration refer General rule No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351764.0,AKHILESH SHARMA,04-Jun-2023 10:46 PM,Rejected-Technical,Non-Responsive,05-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF refer General rule No 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351760.0,RAJESH KUMAR,04-Jun-2023 09:37 PM,Rejected-Finance,Due to L2,05-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over during last five years duly signed by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of No relation Employee in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
