Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Construction of HPSIDC Division office Building at Ind. Area Sansarpur Terrace Distt. Kangra (HP) (SH- Providing E.I. thereof).,Providing E.I. work,Please refer Tender documents. ,NA ,"9,26,623",Electrical Works,NA ,Tender,120.0,120.0,Kangra,176501.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"1,100",Nil,Nil,No,"19,000",No,fixed,,Nil,Nil,01-Dec-2023 11:00 AM,12-Dec-2023 11:00 AM,01-Dec-2023 11:00 AM,11-Dec-2023 05:00 PM,NA ,NA ,01-Dec-2023 11:00 AM,11-Dec-2023 05:00 PM,01-Jan-2024 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Electrical Contractor registration (as per tender condition),1.0,ICICI BANK,HP SIDC Limited,Job No. 8,2023_SIDC_82039_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,1.0,388723.0,Bhanu Pratap,INR,"731,400",13-Feb-2024,"INR 731,400",120.0,Sushant Singh Negi,19-Feb-2024 12:40 PM,bhanuaoc.pdf (2484.00 KB),Award letter,HP SIDC Limited,2023_SIDC_82039_1,Job No. 8,Construction of HPSIDC Division office Building at Ind. Area Sansarpur Terrace Distt. Kangra (HP) (SH- Providing E.I. thereof).,EE (HQ),Internal,"DM, Manager(F) AE(Elect)",Sushant Singh Negi,04-Jan-2024 03:59 PM,finsummary_121985.pdf (993.84 KB),Finance,Financial summary,Sushant Singh Negi,04-Jan-2024 03:50 PM,,BOQ Comparative Chart,1,387831,AJAY KUMAR GOVT CONT,10-Dec-2023 05:51 PM,Rejected-Finance,2nd lowest bidder,04-Jan-2024,EE (HQ),Internal,"DM, AE(Elect), Manager(F)",Sushant Singh Negi,01-Jan-2024 01:50 PM,01-Jan-2024 03:00 PM,techsummary_121985.pdf (719.81 KB),Technical,Tender Summary,Sushant Singh Negi,01-Jan-2024 01:46 PM,technical_121985.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,389368,AJAY KUMAR GOVT CONTRACTOR,11-Dec-2023 03:31 PM,Rejected-Finance,8th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,387727,AJINDER THAKUR,11-Dec-2023 02:31 PM,Rejected-Finance,5th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,389058,ASHOK KUMAR GOVT CONTRACTOR,11-Dec-2023 12:55 PM,Rejected-Finance,10th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,388723,Bhanu Pratap,09-Dec-2023 03:54 PM,Accepted-AOC,AOC,19-Feb-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,389397,Harsh Electronics Electrical Contractor,11-Dec-2023 04:12 PM,Rejected-Finance,4th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,388539,ILLUMINATE MANAGEMENT AND GLOBAL SERVICES PVT LTD,11-Dec-2023 02:51 PM,Rejected-Finance,9th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,389301,M/s Jamwal nxt gen energy solutions,11-Dec-2023 01:26 PM,Rejected-Finance,6th lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,388576,Rajan Electrical,11-Dec-2023 03:22 PM,Rejected-Finance,3rd lowest bidder,04-Jan-2024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,388553,Sourab Kuthiala,11-Dec-2023 09:53 AM,Rejected-Finance,7th lowest bidder,04-Jan-2024,,,,,,,,,,,,
