S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW-RD-CB-Tender/22-13992-14092 dt.12.10.22,2022_PWD_66765_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,01,145",No,fixed,,Nil,Nil,C O PHC Building at Sheelgaht,"SH C O Kharanja Stone soling ,PCC 1 4 8 approach road , P L block in Ground and fencing around the PHC building at Sheelghat",Please refer Tender documents. ,NA ,"50,57,295",Civil Works - Bridges,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,1.0,ICICI BANK,"2,500",Nil,Nil,No,15-Dec-2022 06:00 PM,22-Dec-2022 11:00 AM,15-Dec-2022 06:00 PM,21-Dec-2022 06:00 PM,NA ,NA ,15-Dec-2022 06:00 PM,21-Dec-2022 06:00 PM,01-Feb-2023 03:35 PM,EE HPPWD ROHRU,EE HPPWD ROHRU,1.0,Fee/PreQual/Technical,.pdf,Bid security with UTR No.,Finance,Summery,Duni Chand Chauhan,01-Feb-2023 03:41 PM,finance_100624.pdf,BOQ Comparative Chart,1.0,314026.0,SURINDER THAKUR,INR,"5,057,295",1.0,314033.0,RAJNEESH THAKUR,21-Dec-2022 02:09 PM,Rejected-Finance,2nd lowest,23-Feb-2023,Technical,Summery,Chuni Lal Azad,01-Feb-2023 03:27 PM,technical_100624.pdf,Er. Pawan,Internal,"Er. C.L.AZAD, Sanjay Thakur , Naveen Chauhan",Chuni Lal Azad,01-Feb-2023 03:31 PM,01-Feb-2023 03:35 PM,techsummary_100624.pdf (413.19 KB),PWD,2022_PWD_66765_1,PW-RD-CB-Tender/22-13992-14092 dt.12.10.22,C O PHC Building at Sheelgaht,21-Feb-2024,"INR 5,057,595",60.0,Chuni Lal Azad,21-Feb-2024 03:32 PM,summery.pdf (520.00 KB),AOC,Er. Pawan,Internal,Er. C.L.AZAD,Pawan Kumar Garg,23-Feb-2023 01:08 PM,finsummary_100624.pdf (352.74 KB)
2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Cost of form with UTR No.,,,,,,,,,,,,2.0,314026.0,SURINDER THAKUR,21-Dec-2022 01:44 PM,Accepted-AOC,AOC,21-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Mechinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,form No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,wok done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
