S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,129017.0,munish kumar govt contractor,INR,"628,856.76","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",2019_HPIPH_30879_1,5223-5322 dt.13-08-2019,"C/O LIS to for village Badsala, Bhaloh Ghandawal and Bhalola in tehsil and Distt Una HP","Executive Engineer,",Internal,"Supdt. HDM DAO Executive Engineer,",Arvind Sood,21-Oct-2019 03:40 PM,finsummary_44434.pdf (29.12 KB),Executive Engineer,Internal,Supdt HDM DAO Executive Engineer,Arvind Sood,29-Aug-2019 01:28 PM,29-Aug-2019 01:30 PM,techsummary_44434.pdf (56.35 KB),1,128974,abhishek khajanchi,26-Aug-2019 03:32 PM,Rejected-AOC,L5,21-Oct-2019 03:52 PM,21-Oct-2019,"INR 627,921",90.0,Arvind Sood,21-Oct-2019 03:52 PM,30879.pdf (407.00 KB),"Executive Engineer IPH Division No,II Una",Finance,Summary,Arvind Sood,30-Aug-2019 11:06 AM,finance_44434.pdf,BOQ Comparative Chart,Technical,Summary,Arvind Sood,29-Aug-2019 01:00 PM,None,AOC,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",5223-5322 dt.13-08-2019,2019_HPIPH_30879_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1.The cost of tender form only in the shape of demand draft only in favour of Executive Engineer,Executive Engineer IPH Division No.II Una,Executive Engineer IPH Division No.II Una,1.0,DD - Demand Draft,"C/O LIS to for village Badsala, Bhaloh Ghandawal and Bhalola in tehsil and Distt Una HP","SH C/O Pump House Delivery Tank, out lets and laying of HDPE pipe in distribution system for LIS Badsala",Enilstment Estimated cost Earnest money Cost of Tender Lastest In come texetc. ,NA ,"8,14,676",Civil Works,NA ,Tender,120.0,NA ,Una,174303.0,NA ,NA ,NA ,Una,No ,No,14-Aug-2019 05:00 PM,27-Aug-2019 11:30 AM,14-Aug-2019 05:00 PM,26-Aug-2019 05:00 PM,14-Aug-2019 05:00 PM ,26-Aug-2019 05:00 PM ,14-Aug-2019 05:00 PM,26-Aug-2019 05:00 PM,29-Aug-2019 01:30 PM,250.0,EE IPH Division No II Una,Una,Yes,"16,294",Yes,fixed,,EE IPH Division No II Una,Una,AOC
,,,,,,,,,,,,,,,,,,,,,,2,128992,Ajay Kumar Bassi,25-Aug-2019 01:57 PM,Rejected-AOC,L8,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"2,Certificate of registration with IPH Department in appropriate class and latest renewal there",,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,128901,Dinesh Kumar,25-Aug-2019 02:02 PM,Rejected-AOC,L9,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,3.Latest Income Tax certificate thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,128936,Kuldeep Kumar,24-Aug-2019 02:39 PM,Rejected-AOC,L3,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,4.Similar type of work done certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,129017,munish kumar govt contractor,26-Aug-2019 04:29 PM,Accepted-AOC,L1,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,5.Copy of EPF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,129043,NARINDER KUMAR GOVT CONTRACTOR,26-Aug-2019 02:48 PM,Rejected-AOC,L7,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,6. Copy of GST.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,129029,neelam kumar,26-Aug-2019 02:28 PM,Rejected-AOC,L11,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,129033,Nitish Thakur,26-Aug-2019 01:46 PM,Rejected-AOC,L2,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,129069,Om Parkash Govt Contrator,26-Aug-2019 04:54 PM,Rejected-AOC,L4,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,128686,SG Engineers and Consultants,21-Aug-2019 11:20 PM,Rejected-AOC,L10,21-Oct-2019 03:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
