Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
11-Jul-2019 05:00 PM,19-Jul-2019 11:30 AM,11-Jul-2019 05:00 PM,18-Jul-2019 05:00 PM,NA ,NA ,11-Jul-2019 05:00 PM,18-Jul-2019 05:00 PM,31-Jul-2019 12:00 PM,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"19,500",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,PWD,PW/BGN/T-I/2019-20-1636-70 dt 11.06.2019,2019_PWD_30124_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Co Link road to Village Nalwari Harizan Basti from main road SH PL Interlocking paver block from RD 1450 to 1650 and 1730 to 1840,Co Link road to Village Nalwari Harizan Basti from main road SH PL Interlocking paver block from RD 1450 to 1650 and 1730 to 1840,Please refer Tender documents. ,NA ,"9,71,514",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,350.0,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,AOC,1.0,125088.0,Bhupinder Thakur,18-Jul-2019 04:31 PM,Accepted-AOC,Due to L-1,07-Oct-2019 12:04 PM,Technical,technical evaluation summary,Ram Saroop Kalia,31-Jul-2019 09:26 AM,technical_43451.pdf,1.0,125088.0,Bhupinder Thakur,INR,"1,332,316",Finance,financialevaluationsummary,Ram Saroop Kalia,07-Oct-2019 11:33 AM,None,BOQ Comparative Chart,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,31-Jul-2019 09:27 AM,31-Jul-2019 12:00 PM,techsummary_43451.pdf (87.84 KB),PWD,2019_PWD_30124_1,PW/BGN/T-I/2019-20-1636-70 dt 11.06.2019,Co Link road to Village Nalwari Harizan Basti from main road SH PL Interlocking paver block from RD 1450 to 1650 and 1730 to 1840,07-Oct-2019,"INR 971,514",30.0,Ram Saroop Kalia,07-Oct-2019 12:04 PM,30124.pdf (144.00 KB),Award letter,EE,Internal,GASupdtHDMDAO EE,Ram Saroop Kalia,07-Oct-2019 11:36 AM,finsummary_43451.pdf (144.16 KB),AOC
,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,125001.0,PUSHPINDER SINGH,18-Jul-2019 11:04 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Jul-2019 09:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,124365.0,Rajinder Singh rana,15-Jul-2019 03:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Jul-2019 09:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,124379.0,RAVI SHANKAR,15-Jul-2019 03:54 PM,Rejected-Finance,Due to higher side from L-1,07-Oct-2019 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
