S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,DD - Demand Draft,PWD,2783-2833 Dated 22.07.2019,2019_PWD_30571_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Aug-2019 04:30 PM,19-Aug-2019 02:00 PM,03-Aug-2019 05:00 PM,17-Aug-2019 05:00 PM,NA ,NA ,03-Aug-2019 05:00 PM,17-Aug-2019 05:00 PM,28-Aug-2019 03:15 PM,C/O Link road Ratwa to Gehal km 0/00 to 2/870,C/o 900 mm dia Hume pipe culvert at RD 0/700)under MNP,Please refer Tender documents. ,NA ,"2,12,575",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","4,300",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,AOC,09-Oct-2019,"INR 212,575",60.0,Rattan Kumar Sharma,09-Oct-2019 02:55 PM,51.pdf (1554.00 KB),AOC,1.0,128184.0,ved parkash,INR,"285,101",Executive Engineer,Internal,TENDER ASSISTANT SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,09-Oct-2019 02:52 PM,finsummary_44035.pdf (218.05 KB),PWD,2019_PWD_30571_15,2783-2833 Dated 22.07.2019,C/O Link road Ratwa to Gehal km 0/00 to 2/870,Finance,SUMMARY,Rattan Kumar Sharma,31-Aug-2019 10:43 AM,finance_44035.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,28-Aug-2019 03:10 PM,28-Aug-2019 03:15 PM,techsummary_44035.pdf (601.60 KB),Technical,SUMMARY,Rattan Kumar Sharma,25-Aug-2019 12:02 PM,technical_44035.pdf,1.0,127988.0,Dalip Singh Rana,16-Aug-2019 03:04 PM,Rejected-Finance,NOT THE LOWEST BIDDER,09-Oct-2019 02:52 PM,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,128192.0,Karan jeet Attri,17-Aug-2019 03:30 PM,Rejected-Technical,Not Qualified,28-Aug-2019 03:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,128184.0,ved parkash,17-Aug-2019 03:05 PM,Accepted-AOC,AOC,09-Oct-2019 02:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,128047.0,virender singh,16-Aug-2019 08:59 PM,Rejected-Technical,Not Qualified,28-Aug-2019 03:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,128218.0,YASH PAL,17-Aug-2019 04:25 PM,Rejected-Technical,Not Qualified,28-Aug-2019 03:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 100.00 LAC,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
