Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2019-20- 1673-1713 dt 01-06-19,2019_HPIPH_29177_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,11-Jun-2019 05:00 PM,24-Jun-2019 11:30 AM,11-Jun-2019 05:00 PM,24-Jun-2019 11:00 AM,NA ,NA ,11-Jun-2019 05:00 PM,24-Jun-2019 11:00 AM,16-Jul-2019 03:30 PM,Executive Engineer IPH division Nahan,Executive Engineer IPH Division Nahan,"16,410",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,250.0,Executive Engineer IPH Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,LIS to CAD Mainthapal in GP KalaAmb in Tehsil Nahan Distt Sirmour HP,C/O outlets 17 Nos. and laying and jointing of HDPE pipe of various dias,Please refer Tender documents. ,NA ,"8,20,138",Civil Works - Others,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,AOC,Dr. Mandeep Gupta EE,Internal,TA HDM SUPDT EE,Mandeep Gupta,31-Oct-2019 04:40 PM,finsummary_42381.pdf (1092.78 KB),1.0,122560.0,kuldeep singh,INR,"667,106","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_29177_5,IPH-DN-CB-TA-Tender/2019-20- 1673-1713 dt 01-06-19,LIS to CAD Mainthapal in GP KalaAmb in Tehsil Nahan Distt Sirmour HP,Dr Mandeep Gupta EE,Internal,Supdt HDM DAO TA,Mandeep Gupta,16-Jul-2019 03:26 PM,16-Jul-2019 03:30 PM,techsummary_42381.pdf (101.34 KB),1.0,122560.0,kuldeep singh,23-Jun-2019 08:33 PM,Accepted-AOC,AOC,31-Oct-2019 04:43 PM,Finance,Financial Bid Openign Summary,Mandeep Gupta,16-Jul-2019 04:50 PM,finance_42381.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,16-Jul-2019 03:21 PM,technical_42381.pdf,31-Oct-2019,"INR 820,138",90.0,Mandeep Gupta,31-Oct-2019 04:43 PM,AOC.pdf (1093.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,122396.0,SURENDER SINGH,22-Jun-2019 10:56 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2019 03:21 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,122481.0,The Nandini Enterprises and Sons,22-Jun-2019 03:28 PM,Rejected-Finance,Rejected,31-Oct-2019 04:40 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture not allowed,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST and EPF Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking affidavit specifying that the benefit availed under earnest money exemption has not been,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
