Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,24-Oct-2019 04:07 PM,finsummary_43634.pdf (407.34 KB),24-Oct-2019,"INR 3,870,401",180.0,Mahesh Kanwar,24-Oct-2019 04:11 PM,6.pdf (636.00 KB),AOC,PWD,2019_PWD_30277_2,PW.THD.CB.Tender.2019-3786-99 dt.9.7.2019,Fagu to Talai road Km.0.0 to 1.200 SH C.o R.walls B.walls W Beam Metal Crash Barrier CD. Work and Metalling and Tarring,Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,06-Aug-2019 12:26 PM,06-Aug-2019 12:30 PM,techsummary_43634.pdf (407.34 KB),Finance,Summary,Satish Chand,06-Aug-2019 12:55 PM,finance_43634.pdf,BOQ Comparative Chart,1.0,126528.0,suresh jagta,INR,"7,989,785",Technical,Summary,Mahesh Kanwar,03-Aug-2019 12:52 PM,technical_43634.pdf,1.0,126524.0,SATISH KUMAR JAGTA,01-Aug-2019 03:08 PM,Rejected-Finance,Non Responsive,24-Oct-2019 04:07 PM,AOC,PWD,PW.THD.CB.Tender.2019-3786-99 dt.9.7.2019,2019_PWD_30277_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"66,000",No,fixed,,EE Theog,HP PWD Theog,1.0,DD - Demand Draft,Fagu to Talai road Km.0.0 to 1.200 SH C.o R.walls B.walls W Beam Metal Crash Barrier CD. Work and Metalling and Tarring,Fagu to Talai road Km.0.0 to 1.200 SH C.o R.walls B.walls W Beam Metal Crash Barrier CD. Work and Metalling and Tarring,Please refer Tender documents. ,NA ,"38,70,401",Civil Works - Roads,NA ,Tender,90.0,180.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,Executive Engineer,HP PWD Division Theog,18-Jul-2019 12:00 PM,03-Aug-2019 11:00 AM,18-Jul-2019 12:00 PM,02-Aug-2019 06:00 PM,NA ,NA ,18-Jul-2019 12:00 PM,02-Aug-2019 06:00 PM,06-Aug-2019 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),"1,500",EE Theog,HP PWD Theog,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126528.0,suresh jagta,01-Aug-2019 03:18 PM,Accepted-AOC,Responsive,24-Oct-2019 04:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,126529.0,VINAY CHAUHAN,02-Aug-2019 12:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Aug-2019 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery, Tools and plants (as per Schedule-F with reference to clause-18).",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,AOC
