Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE Chopal,HPPWD CHOPAL,500.0,EE Chopal,Chopal,No,14-Feb-2019 03:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,NA ,NA ,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,09-Mar-2019 11:00 AM,1.0,DD - Demand Draft,"C/O Shawala to Dhakhai, Felvi link road from Nerwa to Kiri road","SH 5/7 mtr, wide formation cutting between km RD. 0/840 to 1/330",Please refer Tender documents. ,NA ,"4,98,854",Civil Works - Roads,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"10,000",No,fixed,,EE Chopal,Chopal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,2019_PWD_27321_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,114462.0,Bharat Bhushan Govt. Contractor,21-Feb-2019 08:51 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:47 AM,Technical,Bid Opening Summary,Yogesh Sharma,09-Mar-2019 10:19 AM,technical_38920.pdf,Finance,Bid Opening Summary,Yogesh Sharma,28-Sep-2019 04:37 PM,finance_38920.pdf,BOQ Comparative Chart,1.0,114541.0,sunil kumar,INR,"759,036",Er K S Pal,Internal,EE Suptt Accountant HDM Tender Clerk,Yogesh Sharma,09-Mar-2019 10:47 AM,09-Mar-2019 11:00 AM,techsummary_38920.pdf (306.96 KB),PWD,2019_PWD_27321_7,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,"C/O Shawala to Dhakhai, Felvi link road from Nerwa to Kiri road",07-Oct-2019,"INR 759,036",90.0,Yogesh Sharma,07-Oct-2019 10:35 AM,33.pdf (115.00 KB),AOC,Er KS Pal,Internal,Suptt DAO DHD TA,Yogesh Sharma,07-Oct-2019 10:31 AM,finsummary_38920.pdf (169.33 KB),AOC
,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,AOC,2.0,114233.0,Bhopinder Singh,21-Feb-2019 01:50 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,AOC,3.0,114181.0,HPPWD,21-Feb-2019 01:43 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,AOC,4.0,113802.0,HPPWD,21-Feb-2019 01:13 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,AOC,5.0,113251.0,HP PWD,21-Feb-2019 09:24 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,AOC,6.0,114596.0,mangat ram,22-Feb-2019 01:50 PM,Rejected-AOC,Rejected,07-Oct-2019 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,AOC,7.0,114541.0,sunil kumar,22-Feb-2019 12:24 PM,Accepted-AOC,Accepted,07-Oct-2019 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
