Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,EE Paonta Sahib,Paonta Sahib,Yes,A/R and M/O Link road from Heerpur to Taruwala km 0/0 to 2/750(SH Providing Paving of both side berms in in km 1/200 to 1/800 500 combat the dust pollution due to Industrial activities.,A/R and M/O Link road from Heerpur to Taruwala km 0/0 to 2/750(SH Providing Paving of both side berms in in km 1/200 to 1/800 500 combat the dust pollution due to Industrial activities.,Please refer tender document. ,NA ,"6,86,971",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,HPPWD Division Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),19-Aug-2019 04:30 PM,06-Sep-2019 11:30 AM,19-Aug-2019 05:00 PM,05-Sep-2019 05:00 PM,NA ,NA ,19-Aug-2019 05:00 PM,05-Sep-2019 05:00 PM,17-Sep-2019 03:05 PM,PWD,PWP/CB/Tender19-20 -2225-2275 dt 14.08.2019,2019_PWD_30950_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,"13,750",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,DD - Demand Draft,AOC,Er. P.K. Upreti,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,17-Sep-2019 11:45 AM,17-Sep-2019 03:05 PM,techsummary_44547.pdf (731.99 KB),PWD,2019_PWD_30950_3,PWP/CB/Tender19-20 -2225-2275 dt 14.08.2019,A/R and M/O Link road from Heerpur to Taruwala km 0/0 to 2/750(SH Providing Paving of both side berms in in km 1/200 to 1/800 500 combat the dust pollution due to Industrial activities.,25-Oct-2019,"INR 686,971",90.0,Dalip Singh Tomar,25-Oct-2019 01:09 PM,aoc.pdf (1622.00 KB),AOC,Er. P.K. Upreti,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,25-Oct-2019 01:06 PM,finsummary_44547.pdf (389.90 KB),1.0,129844.0,FAREED HASHMI,INR,"817,349",Finance,Summary,Dalip Singh Tomar,25-Oct-2019 01:02 PM,finance_44547.pdf,BOQ Comparative Chart,1.0,129844.0,FAREED HASHMI,05-Sep-2019 02:52 PM,Accepted-AOC,L1,25-Oct-2019 01:09 PM,Technical,Summary,Dalip Singh Tomar,17-Sep-2019 11:43 AM,technical_44547.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,129802.0,Randhir Singh,05-Sep-2019 12:30 PM,Rejected-Finance,L2,25-Oct-2019 01:06 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,129832.0,RANJEET SINGH,05-Sep-2019 02:58 PM,Rejected-Finance,L3,25-Oct-2019 01:06 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plants as per schedule F Sr. No. 6.19 Ref.Clause No.18 i.e. R.C. and purchas,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
