Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"5,000","The Executive Engineer, Sivasagar W. R. Division",Sivasagar,No,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",11-Jan-2019 06:00 PM,02-Feb-2019 02:00 PM,11-Jan-2019 06:05 PM,01-Feb-2019 02:00 PM,NA ,NA ,16-Jan-2019 10:00 AM,01-Feb-2019 02:00 PM,16-Feb-2019 06:00 PM,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,SIV/RIDF/2018-19/BOLOMA/1,2019_DoWR_11012_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,AE from Akhoiputiaghat to Desangmukh at Boloma Miri Gaon (Protection work at 51st Km),Anti erosion measures of Desang left bank from Akhoiputiaghat to Desangmukh at Boloma Miri Gaon (Protection work at 51st Km),Please refer Tender documents. ,NA ,"1,97,56,085",Civil Works,NA ,Tender,180.0,180.0,Sivasagar,785640.0,NA ,NA ,NA ,Dibrugarh,No ,No,1.0,Fee,.pdf,Cost of Tender and EMD,"3,95,122",Yes,percentage,2.0%,"The Executive Engineer, Sivasagar W. R. Division",Sivasagar,AOC,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, EE, Sivasagar W.R. Division, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,16-Feb-2019 07:15 PM,finsummary_17589.pdf (754.57 KB),Technical,Financial Bid of the successful bidders may be opened,Joy Sekhar Chakraborty,16-Feb-2019 05:55 PM,technical_17589.pdf,01-Oct-2019,INR 19756085.19,180.0,Shamim Akhtar Laskar,01-Oct-2019 01:58 PM,bolomamiri.pdf (12783.00 KB),Anti erosion measures of Desang left bank from Akhoiputiaghat to Desangmukh at Boloma Miri Gaon (Protection work at 51st Km),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, EE, Sivasagar W.R. Division",Joy Sekhar Chakraborty,16-Feb-2019 05:56 PM,16-Feb-2019 06:00 PM,techsummary_17589.pdf (754.57 KB),1,52970,DHRUBAJIT CHETIA,29-Jan-2019 09:39 AM,Accepted-AOC,Proper,01-Oct-2019 01:58 PM,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,16-Feb-2019 06:13 PM,finance_17589.pdf,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11012_1,SIV/RIDF/2018-19/BOLOMA/1,AE from Akhoiputiaghat to Desangmukh at Boloma Miri Gaon (Protection work at 51st Km),1.0,52970.0,DHRUBAJIT CHETIA,INR,2213185.0,AOC
,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,53566,DIBYA BORAH,31-Jan-2019 01:35 PM,Accepted-AOC,Proper,01-Oct-2019 01:58 PM,,,,,,,,,,,2.0,53003.0,Prasanta Gayan,INR,2226788.0,AOC
,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,53430,DINESH BHUYAN,30-Jan-2019 07:51 PM,Accepted-AOC,Proper,01-Oct-2019 01:58 PM,,,,,,,,,,,3.0,53104.0,Utpal Gogoi,INR,2216047.0,AOC
,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,53318,JAYANTA KUMAR DUTTA,31-Jan-2019 04:36 PM,Rejected-AOC,Not qualified for AOC,01-Oct-2019 01:58 PM,,,,,,,,,,,4.0,53235.0,RINTU GOGOI,INR,2238641.0,AOC
,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,53346,JOGESH KALITA,30-Jan-2019 06:44 PM,Accepted-AOC,Proper,01-Oct-2019 01:58 PM,,,,,,,,,,,5.0,53346.0,JOGESH KALITA,INR,2227602.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,53646,KISHUR RUPAM JV,31-Jan-2019 07:29 PM,Accepted-AOC,Proper,01-Oct-2019 01:58 PM,,,,,,,,,,,6.0,53430.0,DINESH BHUYAN,INR,2220064.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,53548,MOINUDDIN AHMED,31-Jan-2019 03:54 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Feb-2019 05:55 PM,,,,,,,,,,,7.0,53566.0,DIBYA BORAH,INR,2216666.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,53461,M/S ALI BROTHERS,30-Jan-2019 04:26 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Feb-2019 05:55 PM,,,,,,,,,,,8.0,53646.0,KISHUR RUPAM JV,INR,2220492.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,52684,M/S EAST INDIA CONSTRUCTION,31-Jan-2019 09:49 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Feb-2019 05:55 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,53601,M/s KALITA CONSTRUCTION,31-Jan-2019 03:47 PM,Rejected-AOC,Not qualified for AOC,01-Oct-2019 01:58 PM,,,,,,,,,,,,,,,,AOC
