Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 6/225 to 6/275 8/040 to 8/480 and 11/680 to 11/730,Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 6/225 to 6/275 8/040 to 8/480 and 11/680 to 11/730,Please refer Tender documents. ,NA ,"13,80,436",Civil Works,NA ,Tender,120.0,60.0,Janjehli,175047.0,NA ,NA ,NA ,EE Janjehli,No ,No,EE Janjehli,Executive Engineer Seraj Division HP PWD Janjehli,1.0,DD - Demand Draft,PWD,No.PW.SRJ/TA/Pub/2018- 2462-64 dated 15.06.2019,2019_PWD_30255_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (General rule No. 26.1),"27,700",Yes,fixed,,EE Seraj at janjehli,Seraj at janjehli,17-Jul-2019 11:00 AM,27-Jul-2019 11:00 AM,17-Jul-2019 11:30 AM,27-Jul-2019 09:00 AM,NA ,NA ,17-Jul-2019 11:30 AM,27-Jul-2019 09:00 AM,07-Aug-2019 06:30 PM,500.0,EE Seraj at janjehli,Seraj at janjehli,Yes,AOC,Er. K K Kaushal,Internal,Sh Megh Singh Sh Partap Singh DHD,Bishwjeet Singh,07-Aug-2019 06:24 PM,07-Aug-2019 06:30 PM,techsummary_43586.pdf (125.78 KB),PWD,2019_PWD_30255_1,No.PW.SRJ/TA/Pub/2018- 2462-64 dated 15.06.2019,Improvement of Black spot on Nauna Sudharani road km 0/000 to 14/000 (SH C/O W metal beam crash barrier at RD 6/225 to 6/275 8/040 to 8/480 and 11/680 to 11/730,15-Oct-2019,"INR 2,067,662",60.0,Bishwjeet Singh,15-Oct-2019 10:28 AM,AOC30255.pdf (145.00 KB),Award letter,Er. K K Kaushal,Internal,Sh. Meg Singh Supdt Sh. Partap Singh DHD,Bishwjeet Singh,14-Oct-2019 05:13 PM,finsummary_43586.pdf (89.18 KB),1.0,126025.0,Tek Chand,INR,"2,067,662",Finance,Summary,Bishwjeet Singh,14-Oct-2019 04:29 PM,finance_43586.pdf,BOQ Comparative Chart,1,126054,Acute Engineers and Contractor OPC Pvt Ltd.,26-Jul-2019 05:17 PM,Rejected-AOC,L-4,15-Oct-2019 10:28 AM,Technical,Summary,Bishwjeet Singh,07-Aug-2019 04:41 PM,technical_43586.pdf,AOC
,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money (General rule No. 26.2),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,125790,CRC Construction,23-Jul-2019 11:16 PM,Rejected-AOC,L-2,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractor registration (General rule No. 26.3),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,126065,HARISH SHARMA,26-Jul-2019 06:08 PM,Rejected-AOC,L-10,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule No. 26.4),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126033,Hukam Chand Verma,26-Jul-2019 03:04 PM,Rejected-AOC,L-3,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(General rule 26.5),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,126053,PAWAN KUMAR,26-Jul-2019 05:23 PM,Rejected-AOC,L-6,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant (General rule 26.6),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,126000,Pitamber Lal,25-Jul-2019 08:04 PM,Rejected-AOC,L-5,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund and Miscellaneous Provision Act 1952 (General rule 25 A),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,126079,PRAKASH CHANDEL,26-Jul-2019 07:58 PM,Rejected-AOC,L-9,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by Govt. contractor,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,126100,Rajender Thakur,27-Jul-2019 08:50 AM,Rejected-AOC,L-8,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,126095,Sandeep Kumar,26-Jul-2019 11:01 PM,Rejected-AOC,L-11,15-Oct-2019 10:28 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,126025,Tek Chand,26-Jul-2019 01:53 PM,Accepted-AOC,L-1,15-Oct-2019 10:28 AM,,,,,,AOC
