S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,124876.0,Rakshak Securitas Pvt.Ltd,INR,"10,800,000",Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,2019_DMEHP_29538_1,HFW/SLBSGMCH/e-tender/security,Tender for Outsourcing of Security Services,Principal,Internal,JDA ACF SO,Anil Kumar,23-Sep-2019 06:39 PM,finsummary_42719.pdf (538.74 KB),1,125245,A.B. ENTERPRISES,20-Jul-2019 11:23 AM,Rejected-Technical,Documents not Completed,09-Aug-2019 02:49 PM,Principal,Internal,Joint Director Medical Superintendent Assistant Controller Section Officer Superintendent Gr II,Anil Kumar,09-Aug-2019 02:49 PM,10-Aug-2019 01:15 PM,techsummary_42719.pdf (1942.56 KB),Technical,Bid opening summary,Ashish Sharma,20-Jul-2019 04:11 PM,technical_42719.pdf,Finance,Bid Summery,Anil Kumar,10-Aug-2019 03:03 PM,finance_42719.pdf,BOQ Comparative Chart,31-Oct-2019,"INR 10,800,000",30.0,Anil Kumar,31-Oct-2019 04:16 PM,AOCSecurity.pdf (1089.00 KB),AOC,1.0,Corrigendum to change BOQ,BOQ,,21-Jun-2019 09:00 AM,20-Jul-2019 03:00 PM,21-Jun-2019 09:05 AM,20-Jul-2019 01:00 PM,NA ,NA ,30-Jun-2019 12:00 PM,20-Jul-2019 01:00 PM,10-Aug-2019 01:15 PM,"2,000",SLBSGMCH Mandi at Nerchowk,Nerchowk,Yes,Tender for Outsourcing of Security Services,Manpower Outsourcing,Please refer Tender documents. ,NA ,"1,00,00,000",Manpower Supply,NA ,Tender,180.0,30.0,SLBSGMCH Mandi at Nerchowk,175008.0,Administrative Block ,SLBSGMCH Mandi at Nerchowk ,29-Jun-2019 11:00 AM ,Administrative Block,No ,No,Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,HFW/SLBSGMCH/e-tender/security,2019_DMEHP_29538_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,DD - Demand Draft,"5,00,000",Yes,fixed,,SLBSGMCH Mandi at Nerchowk,Nerchowk,Principal,SLBSGMCH Mandi at Nerchowk,AOC
,,,,,,,,,,,,,,,2,125273,Corporate Care,20-Jul-2019 11:24 AM,Rejected-Technical,Experineces not available,09-Aug-2019 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Corrigendum to Amend Terms and Condition,Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,BC - Bankers Cheque,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,125264,Datar Security Service Group,19-Jul-2019 06:21 PM,Rejected-Finance,L4,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,125304,ESCORT SERVICES,20-Jul-2019 12:30 PM,Rejected-Technical,Turnover less than 10 cr and Experineces not available,09-Aug-2019 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,125203,Frontline (NCR) Business Solutions Pvt. Ltd,20-Jul-2019 12:23 PM,Rejected-Finance,L3,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,124578,NOIRO FACILITIES MANAGEMENT SERVICES PVT LTD,15-Jul-2019 04:53 PM,Rejected-Finance,L6,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,124876,Rakshak Securitas Pvt.Ltd,19-Jul-2019 10:57 AM,Accepted-AOC,L-1,31-Oct-2019 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,124664,Scientific Security Management Services Pvt. Ltd.,16-Jul-2019 05:04 PM,Rejected-Finance,L2,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,123597,Shimla Cleanways,20-Jul-2019 11:29 AM,Rejected-Finance,L5,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,125105,SUNRISE FACILITATORS PVT LTD,18-Jul-2019 04:23 PM,Rejected-Finance,L7,23-Sep-2019 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
