Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. P.K.Upreti,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,25-Oct-2019 11:10 AM,finsummary_43813.pdf (367.26 KB),25-Oct-2019,"INR 465,018",90.0,Dalip Singh Tomar,25-Oct-2019 11:12 AM,aoc.pdf (1569.00 KB),AOC,PWD,2019_PWD_30401_3,tender/2019-20 -1885-1934 dated 22.07.2019,Construction of link road from Laa Devi Temple Rajban (on NH 72B now NH707) to Giri Basti Rajban km 0/0 to 1/450(SH Providing and Laying GSB and wearing G-2 in km 0/555 to 0/800 and premix carpet in km 0/500 to 0/800).,Er. P.K.Upreti,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,07-Sep-2019 02:10 PM,07-Sep-2019 04:10 PM,techsummary_43813.pdf (702.04 KB),Technical,Summary,Dalip Singh Tomar,07-Sep-2019 02:07 PM,technical_43813.pdf,1.0,128160.0,DINESH KUMAR GUPTA,17-Aug-2019 02:11 PM,Rejected-Finance,L2,25-Oct-2019 11:10 AM,Finance,Summary,Dalip Singh Tomar,25-Oct-2019 11:07 AM,finance_43813.pdf,BOQ Comparative Chart,1.0,128078.0,RANJEET SINGH,INR,"583,469",AOC,Construction of link road from Laa Devi Temple Rajban (on NH 72B now NH707) to Giri Basti Rajban km 0/0 to 1/450(SH Providing and Laying GSB and wearing G-2 in km 0/555 to 0/800 and premix carpet in km 0/500 to 0/800).,Construction of link road from Laa Devi Temple Rajban (on NH 72B now NH707) to Giri Basti Rajban km 0/0 to 1/450(SH Providing and Laying GSB and wearing G-2 in km 0/555 to 0/800 and premix carpet in km 0/500 to 0/800).,Please refer tender document ,NA ,"4,65,018",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,24-Jul-2019 04:30 PM,19-Aug-2019 11:30 AM,24-Jul-2019 05:00 PM,17-Aug-2019 05:00 PM,NA ,NA ,24-Jul-2019 05:00 PM,17-Aug-2019 05:00 PM,07-Sep-2019 04:10 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,350.0,EE Paonta Sahib,Paonta Sahib,Yes,"9,300",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),PWD,tender/2019-20 -1885-1934 dated 22.07.2019,2019_PWD_30401_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,128027.0,Manoj Chawla,16-Aug-2019 07:47 PM,Rejected-Technical,Not Qualified,07-Sep-2019 02:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,128078.0,RANJEET SINGH,17-Aug-2019 10:59 AM,Accepted-AOC,L1,25-Oct-2019 11:12 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plants as per schedule F Sr. No. 6.19 Ref.Clause No.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,R.C. and purchase bills along with proof of ownership/Affidavit hire basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
