Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,Annual Maintenance of Marredi Sillaghrat,2019_PWD_28445_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),1.0,DD - Demand Draft,"28,000",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,13-Mar-2019 05:00 PM,29-Mar-2019 11:30 AM,13-Mar-2019 05:00 PM,28-Mar-2019 05:00 PM,NA ,NA ,13-Mar-2019 05:00 PM,28-Mar-2019 05:00 PM,03-Apr-2019 11:30 AM,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",Annual Maintenance of Marredi Sillaghrat road Km. 5/0 to 6/0 and patch work in Km. 6/0 to 12/0 for the year 2019-20 P/L Bitumenous Concrete,Annual Maintenance of Marredi Sillaghrat road Km. 5/0 to 6/0 and patch work in Km. 6/0 to 12/0 for the year 2019-20 P/L Bitumenous Concrete,Please refer Tender documents. ,NA ,"13,96,304",Civil Works,NA ,Tender,60.0,30.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,AOC,1.0,119998.0,Surinder Pal Dhall,28-Mar-2019 11:27 AM,Accepted-AOC,l1,18-Oct-2019 08:23 PM,Technical,Bid opening Summary,Jeet Singh Thakur,02-Apr-2019 08:21 PM,technical_40893.pdf,1.0,119998.0,Surinder Pal Dhall,INR,"1,735,173",Finance,Bid opening Summary,Jeet Singh Thakur,16-Apr-2019 01:21 PM,finance_40893.pdf,BOQ Comparative Chart,PWD,2019_PWD_28445_1,Annual Maintenance of Marredi Sillaghrat,Annual Maintenance of Marredi Sillaghrat road Km. 5/0 to 6/0 and patch work in Km. 6/0 to 12/0 for the year 2019-20 P/L Bitumenous Concrete,ER JS Thakur,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,02-Apr-2019 08:25 PM,03-Apr-2019 11:30 AM,techsummary_40893.pdf (293.40 KB),EE,Internal,Senior Assistant Engineer Superintendent and Assistant Engineer,Jeet Singh Thakur,16-Apr-2019 01:22 PM,finsummary_40893.pdf (138.56 KB),18-Oct-2019,"INR 1,396,304",30.0,Jeet Singh Thakur,18-Oct-2019 08:23 PM,31.6102.pdf (405.00 KB),Annual Maintenance of Marredi Sillaghrat road Km. 5/0 to 6/0 and patch work in Km. 6/0 to 12/0 for the year 2019-20 P/L Bitumenous Concrete,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Own Hot Mix Plant and own Paver Finisher, as per Form-8 Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
