Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,No.PWC-WA-Contt.1975-2074 dated 27.5.2019,2019_PWD_29192_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"10,300",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,Annual Maintenance of various road under Chamba Sub Division No.II Patch work on Chamba Khajjiar road. Mangla Ohli Bharian road,Annual Maintenance of various road under Chamba Sub Division No.II Patch work on Chamba Khajjiar road. Mangla Ohli Bharian road,Please refer Tender documents. ,NA ,"5,12,682",Civil Works,NA ,Tender,60.0,30.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,DD - Demand Draft,08-Jun-2019 10:00 AM,25-Jun-2019 11:30 AM,08-Jun-2019 10:00 AM,24-Jun-2019 05:00 PM,NA ,NA ,08-Jun-2019 10:00 AM,24-Jun-2019 05:00 PM,28-Jun-2019 11:30 AM,350.0,Executive Engineer Chamba Division HPPWD Chamba,chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),AOC,1.0,122517.0,Construction,22-Jun-2019 04:39 PM,Rejected-AOC,l2,18-Oct-2019 04:04 PM,Technical,Bid opening Summary,Jeet Singh Thakur,26-Jun-2019 08:42 PM,technical_42279.pdf,1.0,122510.0,Manesh Mehta,INR,"685,425",Finance,Bid opening Summary,Jeet Singh Thakur,18-Oct-2019 03:57 PM,finance_42279.pdf,BOQ Comparative Chart,PWD,2019_PWD_29192_2,No.PWC-WA-Contt.1975-2074 dated 27.5.2019,Annual Maintenance of various road under Chamba Sub Division No.II Patch work on Chamba Khajjiar road. Mangla Ohli Bharian road,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,26-Jun-2019 08:46 PM,28-Jun-2019 11:30 AM,techsummary_42279.pdf (240.95 KB),EE,Internal,Assistant Engineer Superintendent Senior Assistant,Jeet Singh Thakur,18-Oct-2019 04:02 PM,finsummary_42279.pdf (176.36 KB),18-Oct-2019,"INR 512,682",30.0,Jeet Singh Thakur,18-Oct-2019 04:04 PM,22.5175.pdf (365.00 KB),Annual Maintenance of various road under Chamba Sub Division No.II Patch work on Chamba Khajjiar road. Mangla Ohli Bharian road,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,.pdf,Earnest Money ( as per schedule F ),AOC,2.0,122510.0,Manesh Mehta,24-Jun-2019 04:41 PM,Accepted-AOC,l1,18-Oct-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work 40 percent estimated value work without L.D. in last five year.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Own Mini Hot mix plant and Road Roller documentary proof for the same will have to be furnished,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
