Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,27-Jun-2019 10:40 AM,finance_42431.pdf,BOQ Comparative Chart,1.0,122038.0,M/s Satish Kumar Sharma,INR,"1,951,889",Technical,TechnicalBidOpeningSummary,Bhupinder Singh,25-Jun-2019 12:18 PM,technical_42431.pdf,1.0,122038.0,M/s Satish Kumar Sharma,19-Jun-2019 02:21 PM,Accepted-AOC,ok,02-Oct-2019 04:53 PM,01-Oct-2019,"INR 1,779,395",60.0,Bhupinder Singh,02-Oct-2019 04:53 PM,Awardletter.PDF (1469.00 KB),Awardletter,Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Jagdeep Singh, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,27-Jun-2019 10:56 AM,finsummary_42431.pdf (614.11 KB),Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Ravi Kumar, Jr. Draughtsman , Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,25-Jun-2019 12:39 PM,25-Jun-2019 02:00 PM,techsummary_42431.pdf (809.63 KB),PWD,2019_PWD_29296_1,Job 1 Periodical maintenance of Panjawar Bathri ro,Job 1 Periodical maintenance of Panjawar Bathri road to Ispur Sankri Devi road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 0-600 VR008453101 Under State Head ii. Periodical maintenance of link road mohalla jhangri,AOC,"34,200",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,12-Jun-2019 03:00 PM,20-Jun-2019 11:00 AM,12-Jun-2019 03:30 PM,19-Jun-2019 05:00 PM,NA ,NA ,12-Jun-2019 03:30 PM,19-Jun-2019 05:00 PM,25-Jun-2019 02:00 PM,Job 1 Periodical maintenance of Panjawar Bathri road to Ispur Sankri Devi road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 0-600 VR008453101 Under State Head ii. Periodical maintenance of link road mohalla jhangri,Job 1 Periodical maintenance of Panjawar Bathri road to Ispur Sankri Devi road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 0-600 VR008453101 Under State Head ii. Periodical maintenance of link road mohalla jhangri,Please refer to Bidding Documents ,NA ,"17,79,395",Civil Works - Roads,NA ,Tender,120.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,PWD,Job 1 Periodical maintenance of Panjawar Bathri ro,2019_PWD_29296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,AOC
