S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,126147.0,Karan Rana,INR,"1,027,125",Finance,Attached,Vivek Sharma,05-Oct-2019 05:42 PM,finance_43750.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,02-Aug-2019 03:14 PM,technical_43750.pdf,1.0,126157.0,Arvind Sharma,28-Jul-2019 12:29 PM,Rejected-AOC,l2,06-Oct-2019 04:07 PM,06-Oct-2019,"INR 941,262",60.0,Vivek Sharma,06-Oct-2019 04:07 PM,KulwantA.pdf (1486.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,06-Oct-2019 12:25 PM,finsummary_43750.pdf (581.40 KB),EEHamirpur,Internal,SupdtSrDAOHDMAEtoEE,Vivek Sharma,03-Aug-2019 04:14 PM,03-Aug-2019 04:15 PM,techsummary_43750.pdf (937.16 KB),PWD,2019_PWD_30361_1,C/O link road from House of Sh. Kulwant Chopra,Construction of link road from House of Sh. Kulwant Chopra to Sh. Ram Chand in village Bakarti km 0/0 to 0/750,AOC,1.0,Fee,.pdf,Earnest Money,1.0,DD - Demand Draft,"15,000",Yes,fixed,,EE Hamirpur,EE Hamirpur,PWD,C/O link road from House of Sh. Kulwant Chopra,2019_PWD_30361_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,Construction of link road from House of Sh. Kulwant Chopra to Sh. Ram Chand in village Bakarti km 0/0 to 0/750,SH Providing and laying GSB WMM and 25mm bituminous concrete in km 0/0 to 0/500,Please refer Tender documents. ,NA ,"7,49,409",Civil Works - Roads,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,350.0,EE Hamirpur,EE Hamirpur,No,22-Jul-2019 06:00 PM,29-Jul-2019 03:00 PM,22-Jul-2019 06:00 PM,29-Jul-2019 10:00 AM,NA ,NA ,22-Jul-2019 06:30 PM,29-Jul-2019 10:00 AM,03-Aug-2019 04:15 PM,AOC
,,,,,,,,,,,,,,,,2.0,126147.0,Karan Rana,27-Jul-2019 07:28 PM,Accepted-AOC,l1,06-Oct-2019 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of tender,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
