Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
500.0,"The Executive Engineer, Dhemaji W.R. Division",Dhemaji,No,1.0,DD - Demand Draft,"18,640",Yes,percentage,2.0%,"The Executive Engineer, Dhemaji W.R. Division",Dhemaji,26-Jan-2019 06:00 PM,07-Feb-2019 02:00 PM,26-Jan-2019 06:05 PM,06-Feb-2019 02:00 PM,NA ,NA ,31-Jan-2019 10:00 AM,06-Feb-2019 02:00 PM,06-May-2019 10:45 AM,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",1.0,Fee,.pdf,Cost of Tender and EMD,"Immediate measures for M/E along R/B of river Kumatiya from Nepalibasti to Gurathali chapori in between 9th km,Holodonga and 14th km,Konchgaon along with temporary A/E measures on Jiadhal L/B embankment under SDRF for 2018-19 (Package 5)","Immediate measures for M/E along R/B of river Kumatiya from Nepalibasti to Gurathali chapori in between 9th km,Holodonga and 14th km,Konchgaon along with temporary A/E measures on Jiadhal L/B embankment under SDRF for 2018-19 (Package 5)",Please refer Tender documents. ,NA ,"9,31,989",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,787057.0,NA ,NA ,NA ,Dibrugarh,No ,No,Department of Water Resources||Chief Engineer - DoWR,DHEMAJI/FDR/2018-19/KUMATIYA/1,2019_DoWR_11433_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,AOC,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11433_1,DHEMAJI/FDR/2018-19/KUMATIYA/1,"Immediate measures for M/E along R/B of river Kumatiya from Nepalibasti to Gurathali chapori in between 9th km,Holodonga and 14th km,Konchgaon along with temporary A/E measures on Jiadhal L/B embankment under SDRF for 2018-19 (Package 5)",1,54212,BINIT KR. GOGOI,05-Feb-2019 06:11 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,54326,KUSHAL KONCH,05-Feb-2019 06:31 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,54332,Lekhan Dihingia,06-Feb-2019 02:23 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,54409,MANUJ KUMAR DUTTA,06-Feb-2019 01:18 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,54206,MONTU GOHAIN,05-Feb-2019 04:41 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,54367,Mr. Uma Kanta Lahan,06-Feb-2019 03:21 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,54404,M/S KARMAJYOTI YOUTH CONSTRUCTION,06-Feb-2019 12:46 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,54200,NABA CHETIA,06-Feb-2019 10:22 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,54330,NAVAJYOTI GOHAIN,05-Feb-2019 07:33 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,54030,PROVARKAR DAS,03-Feb-2019 09:45 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,11,54186,RANJIT GOGOI,05-Feb-2019 12:49 AM,Accepted-AOC,PROPER,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,12,54032,Ridip Bharali,03-Feb-2019 10:26 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,10-Oct-2019 11:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,13,54122,SABIR DUTTA,04-Feb-2019 06:45 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,06-May-2019 10:38 AM,AOC
