Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Swan River Flood Management Project from Daulatpur Bridge to Gagret Bridge in Main Swan River and all tributaries joining main Swan River from Daulatpur Bridge to Santokhgarh Bridge in Distt. Una (HP) Phase-4th Badoli/Teudi Part -B RD24325/6220to8450,"Sub Head construction of Earthen embankment including wire crated apron , stone pitching etc. from RD 24325/6220 to 24325/8450 as part-B on both sides of Badoli/TeudiLalsingi) Khad on left Bank of Swan River.",Please refer Tender documents. ,NA ,"4,60,45,227",Civil Works,NA ,Tender,120.0,730.0,Haroli Una,177220.0,NA ,NA ,NA ,Haroli at Kungrat,No ,No,"2,500",Executive Engineer SRFMP Division Haroli,Haroli,No,Executive Engineer,"Executive Engineer, Swan River Flood Management Project Division Haroli Distt. Una (HP)","4,92,952",Yes,fixed,,Executive Engineer SRFMP Division Haroli,Haroli,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Registration of Cont./firm in appropriate class in HP IPH Department as per NIe-T condition No.11(i),HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Swan River Flood Management Project Haroli - HPIPH,No.4100-4200Badoli Khad Part-B-RD6220 to8450,2019_HPIPH_25759_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,07-Jan-2019 06:00 PM,21-Jan-2019 12:30 PM,07-Jan-2019 06:00 PM,21-Jan-2019 11:00 AM,07-Jan-2019 06:00 PM ,21-Jan-2019 11:00 AM ,07-Jan-2019 06:00 PM,21-Jan-2019 11:00 AM,28-Feb-2019 12:40 PM,AOC,"Er. N.M Saini CE,PMU,IPH,Shimla",Internal,"Er. Abinder Chadda,SE,Er.Sanjeev Soni EE,D, Er. Sukh Dev AE ,D, ,Sh. Tarsem Kumar Supdt ,w ,Sh. Surjeet Singh CHD , SRMPC Una Er. Hoshiar Singh EE SRFMP Haroli and R.S. Constructions , Mohali",Hoshiar Singh,01-Jul-2019 01:53 PM,finsummary_36087.pdf (1204.48 KB),HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Swan River Flood Management Project Haroli - HPIPH,2019_HPIPH_25759_1,No.4100-4200Badoli Khad Part-B-RD6220 to8450,Swan River Flood Management Project from Daulatpur Bridge to Gagret Bridge in Main Swan River and all tributaries joining main Swan River from Daulatpur Bridge to Santokhgarh Bridge in Distt. Una (HP) Phase-4th Badoli/Teudi Part -B RD24325/6220to8450,1.0,108282.0,RS CONSTRUCTIONS,INR,"68,671,823",1.0,107928.0,M/S H.S Estate and Construction Company,19-Jan-2019 06:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2019 12:26 PM,Er. Abinder Chada,Internal,Er.Sanjeev Soni EE D SRFMP Una Er.Hoshiar Singh EE Haroli Er.Ravinder Kumar EE Gagret Sh.Tarsem Kumar Supdt Gr. II Sh.Surjeet Singh SRFMP Una CHD Er.Sudhir Kumar AE D SRFMP UnaEr.Sanjeev Soni EE D,Hoshiar Singh,28-Feb-2019 12:30 PM,28-Feb-2019 12:40 PM,techsummary_36087.pdf (3079.48 KB),14-Oct-2019,"INR 68,671,823",730.0,Hoshiar Singh,14-Oct-2019 03:47 PM,award_rs.pdf (3598.00 KB),Award letter /revised schedule of quantity /terms and conditions,Technical,summary of prequalification bid,Hoshiar Singh,28-Feb-2019 12:26 PM,technical_36087.pdf,Finance,Summary of Financial bid,Hoshiar Singh,01-Jul-2019 01:17 PM,finance_36087.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender document and earnest money as per NIe-T condition No.11(ii) and (iii),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,108316.0,M/s Thakur Constructions,21-Jan-2019 10:15 AM,Rejected-Finance,Due to 2nd Lowest,01-Jul-2019 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Latest I/Tax,S/Tax/GST clear. certif.,PAN, reg. under HP S/Tax Act1968 and GST, as NIeTcond.No.11(v)",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,107641.0,Rashid Ali Civil Contractor,21-Jan-2019 10:09 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Av.annual t/over during last 3years,ending 31stMarch of the prev.fin.year as per NIe-Tcond.No.11(vi)",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,108282.0,RS CONSTRUCTIONS,20-Jan-2019 11:10 PM,Accepted-AOC,Due to Lowest One,14-Oct-2019 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar works in any Govt. Department/Govt. Undertaking as per NIe-T condition No.11(vii),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. does not have more than 2 incomp. works of similar nature as perNIe-Tcond.No.11(viii),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Exp. of weaving G.I.Wire with minimum thickness of G.I.Wire 5.00mm as per NIe-T cond.No.11(ix),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of adequate machinery, other equipments for execution of works as per NIe-T cond. No.11(x)",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,form6 and 8,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,schedule of quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
