Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
28-Oct-2019,"INR 6,815,346",180.0,Jeet Singh Thakur,28-Oct-2019 04:24 PM,3.AOC3107-1.pdf (799.00 KB),Restoration of rain damages on Chakki Banikhet Chamba Bharmour road NH154A Km 106/0 172/ Under FDR.,EE,Internal,Tender Assistant Senior Assistant Superintendent and DHD,Jeet Singh Thakur,28-Oct-2019 04:21 PM,finsummary_42002.pdf (15.79 KB),Executive Engineer,Internal,Assistant Engineer Superintendent Senior Assistant DHD Tender Assistant,Jeet Singh Thakur,26-Jun-2019 01:14 PM,27-Jun-2019 11:30 AM,techsummary_42002.pdf (350.38 KB),PWD,2019_PWD_28980_1,PW-NHC-EA/Tender/19-20- 1192-1294 dated 24.5.2019,Restoration of rain damages on Chakki Banikhet Chamba Bharmour road NH154A Km 106/0 172/ Under FDR.,Technical,Bid opening Summary,Jeet Singh Thakur,26-Jun-2019 01:03 PM,technical_42002.pdf,1.0,121579.0,Ashok Kumar,13-Jun-2019 05:37 PM,Rejected-Technical,Non Responsive,26-Jun-2019 01:14 PM,1.0,121576.0,Rakesh Verma,INR,"6,441,393",Finance,Bid opening Summary,Jeet Singh Thakur,28-Oct-2019 04:18 PM,finance_42002.pdf,BOQ Comparative Chart,AOC,"2,000",Executive Engineer NH Division HPPWD Chamba,Chamba,No,"1,00,700",No,fixed,,Executive Engineer NH Division HPPWD Chamba,Chamba,PWD,PW-NHC-EA/Tender/19-20- 1192-1294 dated 24.5.2019,2019_PWD_28980_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Chamba,Executive Engineer NH Division HPPWD Chamba,31-May-2019 10:00 AM,14-Jun-2019 11:30 AM,31-May-2019 10:00 AM,14-Jun-2019 11:00 AM,NA ,NA ,31-May-2019 10:00 AM,14-Jun-2019 11:00 AM,27-Jun-2019 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),Restoration of rain damages on Chakki Banikhet Chamba Bharmour road NH154A Km 106/0 172/ Under FDR.,Restoration of rain damages on Chakki Banikhet Chamba Bharmour road NH154A Km 106/0 172/ Under FDR.,Please refer Tender documents. ,NA ,"68,15,346",Civil Works - Roads,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Chamba,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,121593.0,DARSHAN KUMAR,13-Jun-2019 08:43 PM,Rejected-Technical,Non Responsive,26-Jun-2019 01:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (indicated in schedule F),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,121576.0,Rakesh Verma,14-Jun-2019 10:58 AM,Accepted-AOC,Responsive,28-Oct-2019 04:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of General Rules and Direction and as per Schedule F,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Staff,,,,,,,,,,,,,,,,,,,,,AOC
